Date,SLV
2019-01-02,14.5600004196167
2019-01-03,14.75
2019-01-04,14.729999542236328
2019-01-07,14.670000076293945
2019-01-08,14.6899995803833
2019-01-09,14.779999732971191
2019-01-10,14.600000381469727
2019-01-11,14.640000343322754
2019-01-14,14.65999984741211
2019-01-15,14.600000381469727
2019-01-16,14.630000114440918
2019-01-17,14.569999694824219
2019-01-18,14.369999885559082
2019-01-22,14.390000343322754
2019-01-23,14.420000076293945
2019-01-24,14.359999656677246
2019-01-25,14.739999771118164
2019-01-28,14.789999961853027
2019-01-29,14.880000114440918
2019-01-30,15.050000190734863
2019-01-31,15.050000190734863
2019-02-01,14.920000076293945
2019-02-04,14.880000114440918
2019-02-05,14.869999885559082
2019-02-06,14.680000305175781
2019-02-07,14.770000457763672
2019-02-08,14.829999923706055
2019-02-11,14.720000267028809
2019-02-12,14.729999542236328
2019-02-13,14.59000015258789
2019-02-14,14.649999618530273
2019-02-15,14.819999694824219
2019-02-19,15.020000457763672
2019-02-20,15.069999694824219
2019-02-21,14.829999923706055
2019-02-22,14.949999809265137
2019-02-25,14.899999618530273
2019-02-26,14.9399995803833
2019-02-27,14.75
2019-02-28,14.630000114440918
2019-03-01,14.199999809265137
2019-03-04,14.149999618530273
2019-03-05,14.199999809265137
2019-03-06,14.149999618530273
2019-03-07,14.09000015258789
2019-03-08,14.40999984741211
2019-03-11,14.369999885559082
2019-03-12,14.479999542236328
2019-03-13,14.510000228881836
2019-03-14,14.239999771118164
2019-03-15,14.329999923706055
2019-03-18,14.390000343322754
2019-03-19,14.399999618530273
2019-03-20,14.539999961853027
2019-03-21,14.5
2019-03-22,14.449999809265137
2019-03-25,14.5600004196167
2019-03-26,14.470000267028809
2019-03-27,14.319999694824219
2019-03-28,14.069999694824219
2019-03-29,14.180000305175781
2019-04-01,14.149999618530273
2019-04-02,14.15999984741211
2019-04-03,14.199999809265137
2019-04-04,14.220000267028809
2019-04-05,14.170000076293945
2019-04-08,14.3100004196167
2019-04-09,14.279999732971191
2019-04-10,14.279999732971191
2019-04-11,14.020000457763672
2019-04-12,14.050000190734863
2019-04-15,14.0600004196167
2019-04-16,14.069999694824219
2019-04-17,14.050000190734863
2019-04-18,14.0600004196167
2019-04-22,14.079999923706055
2019-04-23,13.90999984741211
2019-04-24,14.0
2019-04-25,14.0
2019-04-26,14.100000381469727
2019-04-29,13.989999771118164
2019-04-30,14.020000457763672
2019-05-01,13.75
2019-05-02,13.710000038146973
2019-05-03,13.960000038146973
2019-05-06,13.979999542236328
2019-05-07,13.979999542236328
2019-05-08,13.890000343322754
2019-05-09,13.829999923706055
2019-05-10,13.84000015258789
2019-05-13,13.84000015258789
2019-05-14,13.859999656677246
2019-05-15,13.850000381469727
2019-05-16,13.649999618530273
2019-05-17,13.520000457763672
2019-05-20,13.550000190734863
2019-05-21,13.529999732971191
2019-05-22,13.539999961853027
2019-05-23,13.680000305175781
2019-05-24,13.649999618530273
2019-05-28,13.460000038146973
2019-05-29,13.520000457763672
2019-05-30,13.600000381469727
2019-05-31,13.649999618530273
2019-06-03,13.869999885559082
2019-06-04,13.890000343322754
2019-06-05,13.880000114440918
2019-06-06,13.920000076293945
2019-06-07,14.0600004196167
2019-06-10,13.779999732971191
2019-06-11,13.8100004196167
2019-06-12,13.84000015258789
2019-06-13,13.960000038146973
2019-06-14,13.90999984741211
2019-06-17,13.899999618530273
2019-06-18,14.050000190734863
2019-06-19,14.170000076293945
2019-06-20,14.449999809265137
2019-06-21,14.359999656677246
2019-06-24,14.460000038146973
2019-06-25,14.380000114440918
2019-06-26,14.319999694824219
2019-06-27,14.279999732971191
2019-06-28,14.329999923706055
2019-07-01,14.180000305175781
2019-07-02,14.289999961853027
2019-07-03,14.319999694824219
2019-07-05,14.0600004196167
2019-07-08,14.050000190734863
2019-07-09,14.140000343322754
2019-07-10,14.260000228881836
2019-07-11,14.170000076293945
2019-07-12,14.260000228881836
2019-07-15,14.420000076293945
