Date,VWO
2019-01-02,30.803916931152344
2019-01-03,30.320959091186523
2019-01-04,31.278804779052734
2019-01-07,31.343189239501953
2019-01-08,31.520292282104492
2019-01-09,31.979076385498047
2019-01-10,32.22054672241211
2019-01-11,32.019325256347656
2019-01-14,31.7939395904541
2019-01-15,32.00321960449219
2019-01-16,32.317138671875
2019-01-17,32.470069885253906
2019-01-18,32.639102935791016
2019-01-22,32.091766357421875
2019-01-23,32.405677795410156
2019-01-24,32.679351806640625
2019-01-25,33.00130844116211
2019-01-28,32.65519332885742
2019-01-29,32.69544219970703
2019-01-30,33.27498245239258
2019-01-31,33.6291389465332
2019-02-01,33.37962341308594
2019-02-04,33.452064514160156
2019-02-05,33.83036804199219
2019-02-06,33.42790603637695
2019-02-07,33.11399841308594
2019-02-08,32.98521041870117
2019-02-11,32.79203796386719
2019-02-12,33.11399841308594
2019-02-13,32.88057327270508
2019-02-14,32.94496154785156
2019-02-15,32.88862609863281
2019-02-19,33.22669219970703
2019-02-20,33.37156677246094
2019-02-21,33.299129486083984
2019-02-22,33.67744827270508
2019-02-25,34.12819290161133
2019-02-26,34.023555755615234
2019-02-27,33.75791931152344
2019-02-28,33.50035095214844
2019-03-01,33.54059982299805
2019-03-04,33.66133499145508
2019-03-05,34.05574035644531
2019-03-06,33.8867073059082
2019-03-07,33.339385986328125
2019-03-08,33.09790802001953
2019-03-11,33.77403259277344
2019-03-12,33.91085433959961
2019-03-13,33.98331069946289
2019-03-14,33.80622100830078
2019-03-15,34.26502227783203
2019-03-18,34.65137481689453
2019-03-19,34.65943145751953
2019-03-20,34.65137481689453
2019-03-21,34.731868743896484
2019-03-22,33.685482025146484
2019-03-25,33.84033203125
2019-03-26,33.9532356262207
2019-03-27,33.58224868774414
2019-03-28,33.87259292602539
2019-03-29,34.27584457397461
2019-04-01,34.79199981689453
2019-04-02,34.68714141845703
2019-04-03,34.85651397705078
2019-04-04,35.08232498168945
2019-04-05,35.36459732055664
2019-04-08,35.34041213989258
2019-04-09,35.29201889038086
2019-04-10,35.46137237548828
2019-04-11,35.05006790161133
2019-04-12,35.267826080322266
2019-04-15,35.08232498168945
2019-04-16,35.36459732055664
2019-04-17,35.45331573486328
2019-04-18,35.4936408996582
2019-04-22,35.28395080566406
2019-04-23,35.36459732055664
2019-04-24,34.95329284667969
2019-04-25,34.88876724243164
2019-04-26,35.05006790161133
2019-04-29,34.98554992675781
2019-04-30,35.00974655151367
2019-05-01,34.81618118286133
2019-05-02,34.864566802978516
2019-05-03,35.31620788574219
2019-05-06,34.5661735534668
2019-05-07,33.91292190551758
2019-05-08,33.824195861816406
2019-05-09,33.3483772277832
2019-05-10,33.622581481933594
2019-05-13,32.48542785644531
2019-05-14,32.937068939208984
2019-05-15,33.025779724121094
2019-05-16,32.94512176513672
2019-05-17,32.316070556640625
2019-05-20,32.20315170288086
2019-05-21,32.6386604309082
2019-05-22,32.50156021118164
2019-05-23,32.090248107910156
2019-05-24,32.13863754272461
2019-05-28,32.23542404174805
2019-05-29,32.509620666503906
2019-05-30,32.65479278564453
2019-05-31,32.77576446533203
2019-06-03,32.96931838989258
2019-06-04,32.97738265991211
2019-06-05,32.735435485839844
2019-06-06,32.72737121582031
2019-06-07,32.96125411987305
2019-06-10,33.26772689819336
2019-06-11,33.61451721191406
2019-06-12,33.25159454345703
2019-06-13,33.28385543823242
2019-06-14,32.87253952026367
2019-06-17,33.00978469848633
2019-06-18,33.756866455078125
2019-06-19,33.99236297607422
2019-06-20,34.52019119262695
2019-06-21,34.382144927978516
2019-06-24,34.4065055847168
2019-06-25,34.032958984375
2019-06-26,34.36589813232422
2019-06-27,34.560794830322266
2019-06-28,34.53643035888672
2019-07-01,35.03178787231445
2019-07-02,34.983062744140625
2019-07-03,35.02366638183594
2019-07-05,34.78004837036133
2019-07-08,34.641998291015625
2019-07-09,34.552669525146484
2019-07-10,34.78004837036133
2019-07-11,34.70695877075195
2019-07-12,34.70695877075195
2019-07-15,34.86936950683594
2019-07-16,34.804412841796875
2019-07-17,34.72320556640625
2019-07-18,34.94245147705078
2019-07-19,34.71508026123047
2019-07-22,34.67448806762695
2019-07-23,34.67448806762695
2019-07-24,34.78004837036133
