Date,OIH
2022-01-03,185.46214294433594
2022-01-04,193.55596923828125
2022-01-05,190.82044982910156
2022-01-06,196.5265350341797
2022-01-07,199.17745971679688
2022-01-10,199.19625854492188
2022-01-11,207.4122772216797
2022-01-12,206.39703369140625
2022-01-13,205.5039825439453
2022-01-14,214.52845764160156
2022-01-18,211.6049041748047
2022-01-19,208.1737060546875
2022-01-20,205.46640014648438
2022-01-21,200.66275024414062
2022-01-24,204.52635192871094
2022-01-25,215.68472290039062
2022-01-26,216.60595703125
2022-01-27,212.7517547607422
2022-01-28,213.72003173828125
2022-01-31,212.29112243652344
2022-02-01,221.06178283691406
2022-02-02,218.7022705078125
2022-02-03,215.94793701171875
2022-02-04,220.34735107421875
2022-02-07,222.41546630859375
2022-02-08,217.62120056152344
2022-02-09,221.15577697753906
2022-02-10,220.911376953125
2022-02-11,230.79129028320312
2022-02-14,225.00059509277344
2022-02-15,228.35655212402344
2022-02-16,233.63961791992188
2022-02-17,230.90411376953125
2022-02-18,225.6210174560547
2022-02-22,222.53765869140625
2022-02-23,223.55291748046875
2022-02-24,222.74447631835938
2022-02-25,227.9147186279297
2022-02-28,233.2730255126953
2022-03-01,226.8336944580078
2022-03-02,237.63482666015625
2022-03-03,238.06727600097656
2022-03-04,245.700439453125
2022-03-07,265.56365966796875
2022-03-08,273.7232971191406
2022-03-09,262.2265319824219
2022-03-10,274.1463317871094
2022-03-11,270.075927734375
2022-03-14,257.72369384765625
2022-03-15,246.73451232910156
2022-03-16,241.8744354248047
2022-03-17,253.33363342285156
2022-03-18,253.23023986816406
2022-03-21,262.0102844238281
2022-03-22,260.7694396972656
2022-03-23,265.1782531738281
2022-03-24,266.3251037597656
2022-03-25,275.9230041503906
2022-03-28,264.23822021484375
2022-03-29,267.7164001464844
2022-03-30,268.63763427734375
2022-03-31,265.61065673828125
2022-04-01,271.3073425292969
2022-04-04,271.5799865722656
2022-04-05,262.8563232421875
2022-04-06,262.09490966796875
2022-04-07,263.8904113769531
2022-04-08,274.6351623535156
2022-04-11,267.03955078125
2022-04-12,273.4224853515625
2022-04-13,279.8336181640625
2022-04-14,283.9698181152344
2022-04-18,289.9861755371094
2022-04-19,286.60198974609375
2022-04-20,282.61614990234375
2022-04-21,269.7093200683594
2022-04-22,263.533203125
2022-04-25,248.72740173339844
2022-04-26,248.80262756347656
2022-04-27,250.7484893798828
2022-04-28,256.75543212890625
2022-04-29,247.9471893310547
2022-05-02,247.9941864013672
2022-05-03,254.95054626464844
2022-05-04,266.8327331542969
2022-05-05,257.1690368652344
2022-05-06,260.20538330078125
2022-05-09,232.37057495117188
2022-05-10,233.2165985107422
2022-05-11,236.4691925048828
2022-05-12,235.73594665527344
2022-05-13,246.68751525878906
2022-05-16,255.5897979736328
