Date,JNK
2023-01-03,72.7449722290039
2023-01-04,73.64036560058594
2023-01-05,73.50324249267578
2023-01-06,74.56802368164062
2023-01-09,74.89070129394531
2023-01-10,74.79387664794922
2023-01-11,75.3262939453125
2023-01-12,75.7296142578125
2023-01-13,75.79415893554688
2023-01-17,75.57636260986328
2023-01-18,75.6489486694336
2023-01-19,75.14881896972656
2023-01-20,75.33435821533203
2023-01-23,75.23756408691406
2023-01-24,75.33435821533203
2023-01-25,75.33435821533203
2023-01-26,75.52796173095703
2023-01-27,75.33435821533203
2023-01-30,74.93907928466797
2023-01-31,75.52796173095703
2023-02-01,76.23170471191406
2023-02-02,76.72633361816406
2023-02-03,75.94794464111328
2023-02-06,75.50201416015625
2023-02-07,75.79391479492188
2023-02-08,75.50201416015625
2023-02-09,74.95874786376953
2023-02-10,74.3749771118164
2023-02-13,74.58577728271484
2023-02-14,74.5938949584961
2023-02-15,74.48040771484375
2023-02-16,73.84796905517578
2023-02-17,74.09119415283203
2023-02-21,72.92365264892578
2023-02-22,73.45878601074219
2023-02-23,74.19660949707031
2023-02-24,73.76688385009766
2023-02-27,74.23715209960938
2023-02-28,74.09932708740234
2023-03-01,73.88734436035156
2023-03-02,73.9281005859375
2023-03-03,74.68635559082031
2023-03-06,74.74343872070312
2023-03-07,74.26239776611328
2023-03-08,73.88734436035156
2023-03-09,73.43072509765625
2023-03-10,73.40625762939453
2023-03-13,73.03120422363281
2023-03-14,73.60194396972656
2023-03-15,73.26766967773438
2023-03-16,73.74874114990234
2023-03-17,73.30842590332031
2023-03-20,73.11272430419922
2023-03-21,73.94438171386719
2023-03-22,74.02593994140625
2023-03-23,73.78131866455078
2023-03-24,73.57749938964844
2023-03-27,73.46334838867188
2023-03-28,73.44703674316406
2023-03-29,74.31131744384766
2023-03-30,74.800537109375
2023-03-31,75.68110656738281
2023-04-03,75.61883544921875
2023-04-04,75.35660552978516
2023-04-05,74.93058013916016
2023-04-06,75.29109954833984
2023-04-10,75.14360046386719
2023-04-11,75.35660552978516
2023-04-12,75.30748748779297
2023-04-13,75.88102722167969
2023-04-14,75.69257354736328
2023-04-17,75.48771667480469
2023-04-18,75.56969451904297
2023-04-19,75.29109954833984
2023-04-20,75.2419204711914
2023-04-21,75.44676971435547
2023-04-24,75.66801452636719
2023-04-25,75.5287094116211
2023-04-26,75.23373413085938
2023-04-27,75.48771667480469
2023-04-28,75.78270721435547
2023-05-01,75.45319366455078
2023-05-02,75.428466796875
2023-05-03,75.33785247802734
2023-05-04,75.11540985107422
2023-05-05,75.50261688232422
2023-05-08,75.35433197021484
2023-05-09,75.1730728149414
2023-05-10,75.61793518066406
2023-05-11,75.5108642578125
2023-05-12,75.23074340820312
2023-05-15,75.24724578857422
2023-05-16,74.71174621582031
2023-05-17,74.88475036621094
2023-05-18,74.91770935058594
2023-05-19,74.95886993408203
2023-05-22,75.28842163085938
2023-05-23,74.91770935058594
2023-05-24,74.39047241210938
2023-05-25,74.31632995605469
2023-05-26,74.785888671875
2023-05-30,75.09894561767578
2023-05-31,74.83531188964844
2023-06-01,75.3357925415039
2023-06-02,75.71693420410156
2023-06-05,75.62579345703125
2023-06-06,75.7915267944336
2023-06-07,75.4020767211914
2023-06-08,75.89096069335938
2023-06-09,75.89922332763672
2023-06-12,75.84952545166016
2023-06-13,75.95722198486328
2023-06-14,76.01524353027344
2023-06-15,76.36323547363281
2023-06-16,76.15611267089844
2023-06-20,75.95722198486328
2023-06-21,75.77494812011719
2023-06-22,75.55122375488281
2023-06-23,75.31922149658203
2023-06-26,75.46006774902344
2023-06-27,75.68382263183594
2023-06-28,76.12295532226562
2023-06-29,75.92411041259766
2023-06-30,76.25550079345703
2023-07-03,76.20887756347656
2023-07-05,75.95061492919922
2023-07-06,75.40912628173828
2023-07-07,75.46746063232422
2023-07-10,75.81733703613281
2023-07-11,76.20887756347656
2023-07-12,76.83368682861328
2023-07-13,77.30023193359375
2023-07-14,76.7586898803711
2023-07-17,76.90863800048828
2023-07-18,77.10025787353516
2023-07-19,77.16692352294922
2023-07-20,76.85865783691406
2023-07-21,77.02527618408203
2023-07-24,76.8836669921875
2023-07-25,76.83368682861328
2023-07-26,77.1835708618164
2023-07-27,76.5837631225586
2023-07-28,77.02527618408203
2023-07-31,77.26687622070312
2023-08-01,76.83123779296875
2023-08-02,76.52965545654297
2023-08-03,76.26992797851562
2023-08-04,76.71394348144531
2023-08-07,76.87312316894531
2023-08-08,77.0071792602539
2023-08-09,77.01554870605469
2023-08-10,76.9736557006836
2023-08-11,76.86474609375
2023-08-14,76.87312316894531
2023-08-15,76.63017272949219
2023-08-16,76.42911529541016
2023-08-17,76.06885528564453
2023-08-18,76.10237121582031
2023-08-21,76.12752532958984
2023-08-22,76.16940307617188
2023-08-23,76.7977066040039
2023-08-24,76.34530639648438
2023-08-25,76.66368103027344
2023-08-28,76.99039459228516
2023-08-29,77.46796417236328
2023-08-30,77.45115661621094
2023-08-31,77.4595718383789
2023-09-01,77.49492645263672
2023-09-05,77.04003143310547
2023-09-06,76.93052673339844
2023-09-07,77.157958984375
2023-09-08,77.09056091308594
2023-09-11,77.18325805664062
2023-09-12,77.09898376464844
2023-09-13,77.29275512695312
2023-09-14,77.40228271484375
2023-09-15,77.14952087402344
2023-09-18,77.16639709472656
2023-09-19,76.97264099121094
2023-09-20,76.8799819946289
2023-09-21,76.3408203125
2023-09-22,76.45874786376953
2023-09-25,76.3492202758789
2023-09-26,75.98700714111328
2023-09-27,75.87747955322266
2023-09-28,76.20601654052734
2023-09-29,76.15547943115234
2023-10-02,75.69034576416016
2023-10-03,74.91938781738281
2023-10-04,75.19896697998047
2023-10-05,75.30062866210938
2023-10-06,75.4361801147461
2023-10-09,75.9953384399414
2023-10-10,76.01229858398438
2023-10-11,76.04618072509766
2023-10-12,75.6141128540039
2023-10-13,75.54631805419922
2023-10-16,75.52088928222656
2023-10-17,75.16506958007812
2023-10-18,74.7753677368164
2023-10-19,74.52117919921875
2023-10-20,74.63980865478516
2023-10-23,74.9448013305664
2023-10-24,75.32606506347656
2023-10-25,74.96173858642578
2023-10-26,75.19896697998047
2023-10-27,75.07188415527344
2023-10-30,75.08881378173828
2023-10-31,75.33452606201172
2023-11-01,76.0340347290039
2023-11-02,76.86903381347656
2023-11-03,77.7380599975586
2023-11-06,77.46541595458984
2023-11-07,77.36316680908203
2023-11-08,77.40576934814453
2023-11-09,76.89456939697266
2023-11-10,77.2864990234375
2023-11-13,77.15017700195312
2023-11-14,77.94255065917969
2023-11-15,77.70398712158203
2023-11-16,77.81475067138672
2023-11-17,77.98513793945312
2023-11-20,78.04481506347656
2023-11-21,78.14703369140625
2023-11-22,78.34300231933594
2023-11-24,78.27483367919922
2023-11-27,78.39412689208984
2023-11-28,78.6838150024414
2023-11-29,79.09276580810547
2023-11-30,78.96495819091797
2023-12-01,79.62897491455078
2023-12-04,79.43193054199219
2023-12-05,79.54328155517578
2023-12-06,79.509033203125
2023-12-07,79.64610290527344
2023-12-08,79.51758575439453
2023-12-11,79.45761108398438
2023-12-12,79.67179870605469
2023-12-13,80.85417175292969
2023-12-14,81.2482681274414
2023-12-15,81.08548736572266
2023-12-18,81.1518325805664
2023-12-19,81.41893005371094
2023-12-20,81.39309692382812
2023-12-21,81.76355743408203
2023-12-22,81.68602752685547
2023-12-26,81.8497085571289
2023-12-27,82.19436645507812
2023-12-28,81.9013900756836
2023-12-29,81.61709594726562
2024-01-02,81.36723327636719
2024-01-03,81.10012817382812
2024-01-04,80.78135681152344
2024-01-05,80.88477325439453
2024-01-08,81.31552124023438
2024-01-09,81.45339965820312
2024-01-10,81.6257095336914
2024-01-11,81.83248138427734
2024-01-12,81.95309448242188
2024-01-16,81.40169525146484
2024-01-17,81.09152221679688
2024-01-18,81.22938537597656
2024-01-19,81.31552124023438
2024-01-22,81.45339965820312
2024-01-23,81.40169525146484
2024-01-24,81.35859680175781
2024-01-25,81.96170806884766
2024-01-26,81.85832977294922
2024-01-29,82.09093475341797
2024-01-30,81.96170806884766
2024-01-31,81.73770904541016
2024-02-01,82.15534210205078
2024-02-02,81.83474731445312
2024-02-05,81.44486236572266
2024-02-06,81.77410125732422
2024-02-07,81.89540100097656
2024-02-08,81.91272735595703
2024-02-09,82.09468841552734
2024-02-12,81.90404510498047
2024-02-13,81.24557495117188
2024-02-14,81.58351135253906
2024-02-15,81.80876922607422
2024-02-16,81.61813354492188
2024-02-20,81.75676727294922
2024-02-21,81.62681579589844
2024-02-22,82.00802612304688
2024-02-23,82.05134582519531
2024-02-26,81.80008697509766
2024-02-27,81.86073303222656
2024-02-28,81.8780746459961
2024-02-29,81.98204803466797
2024-03-01,82.2599868774414
2024-03-04,82.29483795166016
2024-03-05,82.19901275634766
2024-03-06,82.39068603515625
2024-03-07,82.47779846191406
2024-03-08,82.51265716552734
2024-03-11,82.51265716552734
2024-03-12,82.55624389648438
2024-03-13,82.61724090576172
2024-03-14,82.20771026611328
2024-03-15,82.2164306640625
2024-03-18,82.36453247070312
2024-03-19,82.71306610107422
2024-03-20,82.99188232421875
2024-03-21,82.9831771850586
2024-03-22,82.86991119384766
2024-03-25,82.79145812988281
2024-03-26,82.6346435546875
2024-03-27,83.07901000976562
2024-03-28,82.94833374023438
2024-04-01,82.53572845458984
2024-04-02,82.37805938720703
2024-04-03,82.42184448242188
2024-04-04,82.30796813964844
2024-04-05,82.26417541503906
2024-04-08,82.48320007324219
2024-04-09,82.71094512939453
2024-04-10,81.9400634765625
2024-04-11,81.86122131347656
2024-04-12,81.85246276855469
2024-04-15,81.3619155883789
2024-04-16,81.09036254882812
2024-04-17,81.19547271728516
2024-04-18,81.30058288574219
2024-04-19,81.46702575683594
2024-04-22,81.88749694824219
2024-04-23,82.20285034179688
2024-04-24,82.06269836425781
2024-04-25,81.8349380493164
2024-04-26,82.10649871826172
2024-04-29,82.36052703857422
2024-04-30,81.84370422363281
2024-05-01,82.20405578613281
2024-05-02,82.67982482910156
