Date,^VIX
2019-01-02,23.219999313354492
2019-01-03,25.450000762939453
2019-01-04,21.3799991607666
2019-01-07,21.399999618530273
2019-01-08,20.469999313354492
2019-01-09,19.979999542236328
2019-01-10,19.5
2019-01-11,18.190000534057617
2019-01-14,19.06999969482422
2019-01-15,18.600000381469727
2019-01-16,19.040000915527344
2019-01-17,18.059999465942383
2019-01-18,17.799999237060547
2019-01-22,20.799999237060547
2019-01-23,19.520000457763672
2019-01-24,18.889999389648438
2019-01-25,17.420000076293945
2019-01-28,18.8700008392334
2019-01-29,19.1299991607666
2019-01-30,17.65999984741211
2019-01-31,16.56999969482422
2019-02-01,16.139999389648438
2019-02-04,15.729999542236328
2019-02-05,15.569999694824219
2019-02-06,15.380000114440918
2019-02-07,16.3700008392334
2019-02-08,15.720000267028809
2019-02-11,15.970000267028809
2019-02-12,15.430000305175781
2019-02-13,15.649999618530273
2019-02-14,16.219999313354492
2019-02-15,14.90999984741211
2019-02-19,14.880000114440918
2019-02-20,14.020000457763672
2019-02-21,14.460000038146973
2019-02-22,13.510000228881836
2019-02-25,14.850000381469727
2019-02-26,15.170000076293945
2019-02-27,14.699999809265137
2019-02-28,14.779999732971191
2019-03-01,13.569999694824219
2019-03-04,14.630000114440918
2019-03-05,14.739999771118164
2019-03-06,15.739999771118164
2019-03-07,16.59000015258789
2019-03-08,16.049999237060547
2019-03-11,14.329999923706055
2019-03-12,13.770000457763672
2019-03-13,13.40999984741211
2019-03-14,13.5
2019-03-15,12.880000114440918
2019-03-18,13.100000381469727
2019-03-19,13.5600004196167
2019-03-20,13.90999984741211
2019-03-21,13.630000114440918
2019-03-22,16.479999542236328
2019-03-25,16.329999923706055
2019-03-26,14.680000305175781
2019-03-27,15.149999618530273
2019-03-28,14.430000305175781
2019-03-29,13.710000038146973
2019-04-01,13.399999618530273
2019-04-02,13.359999656677246
2019-04-03,13.739999771118164
2019-04-04,13.579999923706055
2019-04-05,12.819999694824219
2019-04-08,13.180000305175781
2019-04-09,14.279999732971191
2019-04-10,13.300000190734863
2019-04-11,13.020000457763672
2019-04-12,12.010000228881836
2019-04-15,12.319999694824219
2019-04-16,12.180000305175781
2019-04-17,12.600000381469727
2019-04-18,12.09000015258789
2019-04-22,12.420000076293945
2019-04-23,12.279999732971191
2019-04-24,13.140000343322754
2019-04-25,13.25
2019-04-26,12.729999542236328
2019-04-29,13.109999656677246
2019-04-30,13.119999885559082
2019-05-01,14.800000190734863
2019-05-02,14.420000076293945
2019-05-03,12.869999885559082
2019-05-06,15.4399995803833
2019-05-07,19.31999969482422
2019-05-08,19.399999618530273
2019-05-09,19.100000381469727
2019-05-10,16.040000915527344
2019-05-13,20.549999237060547
2019-05-14,18.059999465942383
2019-05-15,16.440000534057617
2019-05-16,15.289999961853027
2019-05-17,15.960000038146973
2019-05-20,16.309999465942383
2019-05-21,14.949999809265137
2019-05-22,14.75
2019-05-23,16.920000076293945
2019-05-24,15.850000381469727
2019-05-28,17.5
2019-05-29,17.899999618530273
2019-05-30,17.299999237060547
2019-05-31,18.709999084472656
2019-06-03,18.860000610351562
2019-06-04,16.969999313354492
2019-06-05,16.09000015258789
2019-06-06,15.930000305175781
2019-06-07,16.299999237060547
2019-06-10,15.9399995803833
2019-06-11,15.989999771118164
2019-06-12,15.90999984741211
2019-06-13,15.819999694824219
2019-06-14,15.279999732971191
2019-06-17,15.350000381469727
2019-06-18,15.149999618530273
2019-06-19,14.329999923706055
2019-06-20,14.75
2019-06-21,15.399999618530273
2019-06-24,15.260000228881836
2019-06-25,16.280000686645508
2019-06-26,16.209999084472656
2019-06-27,15.819999694824219
2019-06-28,15.079999923706055
2019-07-01,14.0600004196167
2019-07-02,12.930000305175781
2019-07-03,12.569999694824219
2019-07-05,13.279999732971191
2019-07-08,13.960000038146973
2019-07-09,14.09000015258789
2019-07-10,13.029999732971191
2019-07-11,12.930000305175781
2019-07-12,12.390000343322754
2019-07-15,12.680000305175781
2019-07-16,12.859999656677246
2019-07-17,13.970000267028809
2019-07-18,13.529999732971191
2019-07-19,14.449999809265137
2019-07-22,13.529999732971191
2019-07-23,12.609999656677246
2019-07-24,12.069999694824219
2019-07-25,12.739999771118164
2019-07-26,12.15999984741211
2019-07-29,12.829999923706055
2019-07-30,13.9399995803833
2019-07-31,16.1200008392334
2019-08-01,17.8700008392334
2019-08-02,17.610000610351562
2019-08-05,24.59000015258789
2019-08-06,20.170000076293945
2019-08-07,19.489999771118164
2019-08-08,16.90999984741211
2019-08-09,17.969999313354492
2019-08-12,21.09000015258789
2019-08-13,17.520000457763672
2019-08-14,22.100000381469727
2019-08-15,21.18000030517578
2019-08-16,18.469999313354492
2019-08-19,16.8799991607666
2019-08-20,17.5
