Date,GLD
2022-01-03,168.3300018310547
2022-01-04,169.57000732421875
2022-01-05,169.05999755859375
2022-01-06,166.99000549316406
2022-01-07,167.75
2022-01-10,168.25999450683594
2022-01-11,170.2899932861328
2022-01-12,170.74000549316406
2022-01-13,170.16000366210938
2022-01-14,169.6699981689453
2022-01-18,169.38999938964844
2022-01-19,172.0800018310547
2022-01-20,171.64999389648438
2022-01-21,171.08999633789062
2022-01-24,172.02999877929688
2022-01-25,172.5800018310547
2022-01-26,169.7899932861328
2022-01-27,167.60000610351562
2022-01-28,167.10000610351562
2022-01-31,168.08999633789062
2022-02-01,168.22999572753906
2022-02-02,168.83999633789062
2022-02-03,168.60000610351562
2022-02-04,168.86000061035156
2022-02-07,170.11000061035156
2022-02-08,170.6300048828125
2022-02-09,171.2100067138672
2022-02-10,170.55999755859375
2022-02-11,173.80999755859375
2022-02-14,174.74000549316406
2022-02-15,173.0800018310547
2022-02-16,174.86000061035156
2022-02-17,177.25
2022-02-18,177.1199951171875
2022-02-22,177.49000549316406
2022-02-23,178.2899932861328
2022-02-24,177.13999938964844
2022-02-25,176.5500030517578
2022-02-28,178.3800048828125
2022-03-01,181.6199951171875
2022-03-02,179.72999572753906
2022-03-03,180.8000030517578
2022-03-04,183.67999267578125
2022-03-07,186.41000366210938
2022-03-08,191.50999450683594
2022-03-09,185.82000732421875
2022-03-10,186.39999389648438
2022-03-11,185.08999633789062
2022-03-14,182.3000030517578
2022-03-15,178.88999938964844
2022-03-16,180.00999450683594
2022-03-17,180.88999938964844
2022-03-18,179.3000030517578
2022-03-21,180.6699981689453
2022-03-22,179.36000061035156
2022-03-23,181.80999755859375
2022-03-24,183.1300048828125
2022-03-25,182.3800048828125
2022-03-28,179.05999755859375
2022-03-29,179.13999938964844
2022-03-30,180.5800018310547
2022-03-31,180.64999389648438
2022-04-01,179.5
2022-04-04,180.3699951171875
2022-04-05,179.24000549316406
2022-04-06,179.66000366210938
2022-04-07,180.33999633789062
2022-04-08,181.47000122070312
2022-04-11,182.3699951171875
2022-04-12,183.77000427246094
2022-04-13,184.64999389648438
2022-04-14,184.0399932861328
2022-04-18,184.61000061035156
2022-04-19,181.82000732421875
2022-04-20,182.7100067138672
2022-04-21,182.05999755859375
2022-04-22,180.2899932861328
2022-04-25,177.0500030517578
2022-04-26,177.32000732421875
2022-04-27,175.97999572753906
2022-04-28,176.92999267578125
2022-04-29,176.91000366210938
2022-05-02,173.6300048828125
2022-05-03,174.08999633789062
2022-05-04,175.8000030517578
2022-05-05,175.1300048828125
2022-05-06,175.4199981689453
2022-05-09,172.8800048828125
2022-05-10,171.4199981689453
2022-05-11,172.82000732421875
2022-05-12,170.1699981689453
2022-05-13,168.7899932861328
2022-05-16,170.39999389648438
2022-05-17,169.3300018310547
2022-05-18,169.4199981689453
2022-05-19,171.91000366210938
2022-05-20,172.02999877929688
2022-05-23,172.8300018310547
2022-05-24,174.1300048828125
2022-05-25,173.0800018310547
2022-05-26,172.75999450683594
2022-05-27,172.85000610351562
2022-05-31,171.13999938964844
2022-06-01,172.22999572753906
2022-06-02,174.35000610351562
2022-06-03,172.5800018310547
2022-06-06,171.82000732421875
2022-06-07,172.94000244140625
2022-06-08,172.77999877929688
2022-06-09,172.22999572753906
2022-06-10,174.5399932861328
2022-06-13,169.92999267578125
2022-06-14,168.57000732421875
2022-06-15,170.77000427246094
2022-06-16,172.69000244140625
2022-06-17,171.27000427246094
2022-06-21,170.6300048828125
2022-06-22,171.30999755859375
2022-06-23,170.25999450683594
2022-06-24,170.08999633789062
2022-06-27,169.89999389648438
2022-06-28,169.6199951171875
2022-06-29,169.49000549316406
2022-06-30,168.4600067138672
2022-07-01,168.32000732421875
2022-07-05,164.75
2022-07-06,162.13999938964844
2022-07-07,162.22999572753906
2022-07-08,162.3000030517578
