Date,GDX
2022-01-03,29.667163848876953
2022-01-04,29.79058074951172
2022-01-05,29.287424087524414
2022-01-06,28.252634048461914
2022-01-07,28.489973068237305
2022-01-10,28.964645385742188
2022-01-11,29.56273651123047
2022-01-12,30.103862762451172
2022-01-13,29.657670974731445
2022-01-14,29.401348114013672
2022-01-18,29.05008888244629
2022-01-19,31.129165649414062
2022-01-20,30.692462921142578
2022-01-21,30.046903610229492
2022-01-24,29.85703468322754
2022-01-25,30.056398391723633
2022-01-26,29.07856559753418
2022-01-27,28.176687240600586
2022-01-28,27.815933227539062
2022-01-31,28.698829650878906
2022-02-01,28.98363494873047
2022-02-02,29.07856559753418
2022-02-03,28.717817306518555
2022-02-04,28.860218048095703
2022-02-07,29.714630126953125
2022-02-08,30.046903610229492
2022-02-09,29.989944458007812
2022-02-10,29.135530471801758
2022-02-11,30.787395477294922
2022-02-14,31.413970947265625
2022-02-15,30.8443603515625
2022-02-16,31.831680297851562
2022-02-17,33.01836395263672
2022-02-18,32.75255584716797
2022-02-22,32.38230514526367
2022-02-23,32.98039627075195
2022-02-24,32.344329833984375
2022-02-25,32.64812088012695
2022-02-28,32.63862609863281
2022-03-01,34.04366683959961
2022-03-02,33.920249938964844
2022-03-03,34.19556427001953
2022-03-04,35.50566482543945
2022-03-07,36.41704177856445
2022-03-08,36.61640167236328
2022-03-09,36.19868850708008
2022-03-10,36.939178466796875
2022-03-11,36.3505859375
2022-03-14,34.869598388671875
2022-03-15,35.03099060058594
2022-03-16,35.135414123535156
2022-03-17,35.79046630859375
2022-03-18,35.334781646728516
2022-03-21,36.21767807006836
2022-03-22,35.84742736816406
2022-03-23,36.75880432128906
2022-03-24,36.60691452026367
2022-03-25,36.75880432128906
2022-03-28,35.79046630859375
2022-03-29,36.28413009643555
2022-03-30,36.69234848022461
2022-03-31,36.40754699707031
2022-04-01,37.48980712890625
2022-04-04,37.157527923583984
2022-04-05,36.34109115600586
2022-04-06,36.24615478515625
2022-04-07,36.76829528808594
2022-04-08,37.66069030761719
2022-04-11,37.45182800292969
2022-04-12,37.78410339355469
2022-04-13,38.62902069091797
2022-04-14,38.79041290283203
2022-04-18,38.799903869628906
2022-04-19,37.689170837402344
2022-04-20,38.097389221191406
2022-04-21,36.16071701049805
2022-04-22,35.06896209716797
2022-04-25,33.863285064697266
2022-04-26,33.132293701171875
2022-04-27,32.942420959472656
2022-04-28,33.61646270751953
2022-04-29,33.21772766113281
2022-05-02,32.800018310546875
2022-05-03,33.3316535949707
2022-05-04,33.967716217041016
2022-05-05,32.87596893310547
2022-05-06,32.50572204589844
2022-05-09,30.59752655029297
2022-05-10,30.08487892150879
2022-05-11,30.046903610229492
2022-05-12,28.6513614654541
2022-05-13,29.31590461730957
2022-05-16,29.600711822509766
2022-05-17,29.657670974731445
2022-05-18,28.907684326171875
2022-05-19,30.52157974243164
2022-05-20,30.436138153076172
2022-05-23,30.616512298583984
2022-05-24,31.081697463989258
2022-05-25,30.939292907714844
2022-05-26,30.74942398071289
2022-05-27,30.863344192504883
2022-05-31,30.122854232788086
2022-06-01,30.36018943786621
2022-06-02,31.660795211791992
2022-06-03,30.910816192626953
2022-06-06,30.58803367614746
2022-06-07,30.88233184814453
2022-06-08,30.673477172851562
2022-06-09,29.515268325805664
2022-06-10,30.920307159423828
2022-06-13,28.926671981811523
2022-06-14,28.195676803588867
2022-06-15,28.660852432250977
2022-06-16,29.201984405517578
2022-06-17,28.850725173950195
2022-06-21,28.95515251159668
2022-06-22,28.556425094604492
2022-06-23,27.445688247680664
2022-06-24,28.157699584960938
2022-06-27,27.977323532104492
2022-06-28,27.40771484375
2022-06-29,26.999494552612305
2022-06-30,25.993181228637695
2022-07-01,26.733673095703125
2022-07-05,25.59445571899414
2022-07-06,25.433067321777344
2022-07-07,25.784326553344727
2022-07-08,25.68939208984375
2022-07-11,25.300159454345703
2022-07-12,24.929912567138672
2022-07-13,25.471040725708008
2022-07-14,24.40777015686035
2022-07-15,24.293848037719727
2022-07-18,24.40777015686035
2022-07-19,24.702068328857422
2022-07-20,23.980562210083008
2022-07-21,24.436250686645508
2022-07-22,24.122966766357422
2022-07-25,23.344497680664062
2022-07-26,23.82866668701172
2022-07-27,24.236888885498047
2022-07-28,24.683080673217773
2022-07-29,24.93940544128418
2022-08-01,24.882442474365234
2022-08-02,24.56915855407715
2022-08-03,24.246381759643555
2022-08-04,25.091299057006836
2022-08-05,24.94890022277832
2022-08-08,25.632431030273438
2022-08-09,25.575468063354492
2022-08-10,25.755844116210938
2022-08-11,25.271678924560547
2022-08-12,25.84128761291504
2022-08-15,25.281171798706055
2022-08-16,25.3761043548584
2022-08-17,24.474225997924805
2022-08-18,24.502702713012695
2022-08-19,23.9710693359375
2022-08-22,23.99005889892578
2022-08-23,24.398277282714844
2022-08-24,24.597639083862305
2022-08-25,24.806495666503906
2022-08-26,23.638795852661133
2022-08-29,23.363487243652344
2022-08-30,22.860328674316406
2022-08-31,22.594514846801758
2022-09-01,21.89199447631836
2022-09-02,22.585020065307617
2022-09-06,22.25274658203125
2022-09-07,23.08817481994629
2022-09-08,23.126150131225586
2022-09-09,23.82866668701172
2022-09-12,24.160940170288086
2022-09-13,23.183109283447266
