Date,XBI
2025-06-02,80.94236755371094
2025-06-03,82.03833770751953
2025-06-04,82.1778335571289
2025-06-05,82.25753784179688
2025-06-06,83.95130920410156
2025-06-09,83.96127319335938
2025-06-10,84.96756744384766
2025-06-11,84.06090545654297
2025-06-12,84.05094909667969
2025-06-13,83.2937240600586
2025-06-16,83.0645751953125
2025-06-17,81.79922485351562
2025-06-18,82.35717010498047
2025-06-20,82.07820129394531
2025-06-23,81.9755630493164
2025-06-24,83.52001953125
2025-06-25,82.97198486328125
2025-06-26,83.38052368164062
2025-06-27,82.7129135131836
2025-06-30,82.6332015991211
2025-07-01,82.78266906738281
2025-07-02,84.4865493774414
2025-07-03,84.9349365234375
2025-07-07,83.28087615966797
2025-07-08,84.4068374633789
2025-07-09,87.55552673339844
2025-07-10,88.0636978149414
2025-07-11,86.70856475830078
2025-07-14,87.95408630371094
2025-07-15,85.6025390625
2025-07-16,87.50570678710938
2025-07-17,87.80463409423828
2025-07-18,85.96125030517578
2025-07-21,85.56268310546875
2025-07-22,86.41960906982422
2025-07-23,87.9042739868164
2025-07-24,87.1768798828125
2025-07-25,87.29645538330078
2025-07-28,86.26017761230469
2025-07-29,85.53278350830078
2025-07-30,85.93135070800781
2025-07-31,85.35343933105469
2025-08-01,85.62246704101562
2025-08-04,86.50928497314453
2025-08-05,86.53917694091797
2025-08-06,85.82174682617188
2025-08-07,85.0146484375
2025-08-08,85.12425994873047
2025-08-11,84.855224609375
2025-08-12,86.60892486572266
2025-08-13,89.19961547851562
2025-08-14,89.24943542480469
2025-08-15,90.35546875
2025-08-18,89.88715362548828
2025-08-19,88.4822006225586
2025-08-20,88.90069580078125
2025-08-21,89.59819030761719
2025-08-22,90.59461212158203
2025-08-25,88.47222900390625
2025-08-26,89.57826232910156
2025-08-27,89.96686553955078
2025-08-28,89.96686553955078
2025-08-29,89.52843475341797
2025-09-02,92.54759216308594
2025-09-03,93.3148422241211
2025-09-04,93.13549041748047
2025-09-05,95.12832641601562
2025-09-08,94.09204864501953
2025-09-09,94.64008331298828
2025-09-10,93.56394958496094
2025-09-11,95.35749816894531
2025-09-12,93.78316497802734
2025-09-15,93.09562683105469
2025-09-16,93.4045181274414
2025-09-17,93.43440246582031
2025-09-18,96.33399200439453
2025-09-19,95.25785827636719
2025-09-22,96.97916412353516
2025-09-23,96.4509048461914
2025-09-24,97.11870574951172
2025-09-25,95.54391479492188
2025-09-26,97.62701416015625
2025-09-29,99.0722427368164
2025-09-30,99.86959838867188
2025-10-01,101.05567932128906
2025-10-02,102.25171661376953
2025-10-03,103.25839233398438
2025-10-06,103.29825592041016
2025-10-07,103.33812713623047
2025-10-08,105.09232330322266
2025-10-09,106.16876220703125
2025-10-10,104.64380645751953
2025-10-13,104.92288208007812
2025-10-14,104.77338409423828
2025-10-15,108.01266479492188
2025-10-16,107.55418395996094
2025-10-17,107.44454193115234
2025-10-20,109.80672454833984
2025-10-21,109.19873809814453
2025-10-22,106.96612548828125
2025-10-23,107.20532989501953
2025-10-24,108.0325927734375
2025-10-27,111.22203826904297
2025-10-28,111.63069152832031
2025-10-29,110.59412384033203
2025-10-30,111.5409927368164
2025-10-31,112.33834838867188
2025-11-03,109.49774932861328
2025-11-04,107.68375396728516
2025-11-05,108.84989166259766
2025-11-06,108.92962646484375
2025-11-07,108.60071563720703
2025-11-10,109.72698974609375
2025-11-11,113.63406372070312
2025-11-12,113.73373413085938
2025-11-13,111.5409927368164
2025-11-14,113.63406372070312
2025-11-17,114.45136260986328
2025-11-18,114.80020904541016
2025-11-19,114.12245178222656
2025-11-20,113.45465850830078
2025-11-21,116.2653579711914
2025-11-24,119.18569946289062
2025-11-25,120.96979522705078
2025-11-26,122.44491577148438
2025-11-28,122.75389862060547
2025-12-01,119.45480346679688
2025-12-02,118.06938934326172
2025-12-03,121.42828369140625
2025-12-04,122.84359741210938
2025-12-05,123.0030746459961
2025-12-08,123.25225067138672
2025-12-09,120.79039001464844
2025-12-10,121.6475601196289
2025-12-11,122.61434936523438
2025-12-12,122.72399139404297
2025-12-15,122.43494415283203
2025-12-16,121.6076889038086
2025-12-17,120.54121398925781
2025-12-18,119.6142807006836
2025-12-19,123.02300262451172
2025-12-22,125.91000366210938
