Date,XLK
2022-01-03,84.93692016601562
2022-01-04,84.03683471679688
2022-01-05,81.45272064208984
2022-01-06,81.0414047241211
2022-01-07,80.2961654663086
2022-01-10,80.3106689453125
2022-01-11,81.27367401123047
2022-01-12,81.65596771240234
2022-01-13,79.541259765625
2022-01-14,80.2138900756836
2022-01-18,78.28791046142578
2022-01-19,77.19427490234375
2022-01-20,76.19738006591797
2022-01-21,74.68275451660156
2022-01-24,75.06986236572266
2022-01-25,73.33261108398438
2022-01-26,73.76329803466797
2022-01-27,73.25518798828125
2022-01-28,76.45870208740234
2022-01-31,78.3798599243164
2022-02-01,78.5831069946289
2022-02-02,79.22187805175781
2022-02-03,76.92325592041016
2022-02-04,77.23297882080078
2022-02-07,76.72000885009766
2022-02-08,77.66850280761719
2022-02-09,79.39122772216797
2022-02-10,77.31523895263672
2022-02-11,74.95372772216797
2022-02-14,74.92955017089844
2022-02-15,76.89907836914062
2022-02-16,76.82166290283203
2022-02-17,74.52306365966797
2022-02-18,73.7681655883789
2022-02-22,73.0857925415039
2022-02-23,71.25662994384766
2022-02-24,73.69071197509766
2022-02-25,74.69242095947266
2022-02-28,74.55693817138672
2022-03-01,73.06646728515625
2022-03-02,74.64887237548828
2022-03-03,73.75846099853516
2022-03-04,72.46641540527344
2022-03-07,69.81454467773438
2022-03-08,69.47579956054688
2022-03-09,72.22444152832031
2022-03-10,70.96142578125
2022-03-11,69.71292877197266
2022-03-14,68.4208755493164
2022-03-15,70.71946716308594
2022-03-16,73.01805877685547
2022-03-17,73.53585815429688
2022-03-18,75.04083251953125
2022-03-21,74.89832305908203
2022-03-22,75.97460174560547
2022-03-23,74.80620574951172
2022-03-24,76.75027465820312
2022-03-25,76.7066421508789
2022-03-28,77.61809539794922
2022-03-29,79.26644897460938
2022-03-30,78.20955657958984
2022-03-31,77.05086517333984
2022-04-01,76.822998046875
2022-04-04,78.28228759765625
2022-04-05,76.63392639160156
2022-04-06,74.82073974609375
2022-04-07,74.93708801269531
2022-04-08,73.88990783691406
2022-04-11,72.02823638916016
2022-04-12,71.708251953125
2022-04-13,72.86209869384766
2022-04-14,71.09253692626953
2022-04-18,71.32524871826172
2022-04-19,72.66334533691406
2022-04-20,72.59546661376953
2022-04-21,71.36402130126953
2022-04-22,69.36661529541016
2022-04-25,70.40896606445312
2022-04-26,67.7861557006836
2022-04-27,68.7896957397461
2022-04-28,71.54341888427734
2022-04-29,68.56183624267578
2022-05-02,69.60419464111328
2022-05-03,69.72537994384766
2022-05-04,72.17366790771484
2022-05-05,68.70243072509766
2022-05-06,68.14977264404297
2022-05-09,65.51236724853516
2022-05-10,66.51109313964844
2022-05-11,64.411865234375
2022-05-12,63.7476692199707
2022-05-13,65.86629486083984
2022-05-16,65.2845230102539
2022-05-17,67.17527770996094
2022-05-18,64.10157012939453
2022-05-19,63.39860153198242
2022-05-20,63.539207458496094
2022-05-23,64.99847412109375
2022-05-24,64.03372192382812
2022-05-25,64.78030395507812
2022-05-26,66.3365478515625
2022-05-27,68.58123779296875
2022-05-31,68.09156799316406
2022-06-01,67.8879623413086
2022-06-02,69.5314712524414
2022-06-03,67.86856079101562
2022-06-06,67.87342071533203
2022-06-07,68.68305969238281
2022-06-08,67.9073486328125
2022-06-09,66.09415435791016
2022-06-10,63.553768157958984
2022-06-13,60.737003326416016
2022-06-14,61.119998931884766
2022-06-15,62.40959548950195
2022-06-16,59.86919403076172
2022-06-17,60.417030334472656
2022-06-21,61.9544677734375
