Date,TLT
2025-05-30,82.83854675292969
2025-06-02,82.06761932373047
2025-06-03,81.92305755615234
2025-06-04,83.25294494628906
2025-06-05,83.31076049804688
2025-06-06,82.25070190429688
2025-06-09,82.33744812011719
2025-06-10,82.76145935058594
2025-06-11,83.01200866699219
2025-06-12,84.00460815429688
2025-06-13,83.19512176513672
2025-06-16,82.35670471191406
2025-06-17,83.35896301269531
2025-06-18,83.50350189208984
2025-06-20,83.34930419921875
2025-06-23,83.61913299560547
2025-06-24,84.22628021240234
2025-06-25,84.33226776123047
2025-06-26,84.75628662109375
2025-06-27,84.21663665771484
2025-06-30,85.04539489746094
2025-07-01,85.25625610351562
2025-07-02,84.714599609375
2025-07-03,84.12454986572266
2025-07-07,83.32169342041016
2025-07-08,83.21529388427734
2025-07-09,84.08586120605469
2025-07-10,84.14388275146484
2025-07-11,82.98316192626953
2025-07-14,82.80903625488281
2025-07-15,82.22869110107422
2025-07-16,82.34473419189453
2025-07-17,82.32540130615234
2025-07-18,82.4511489868164
2025-07-21,83.18627166748047
2025-07-22,83.68926239013672
2025-07-23,83.22496795654297
2025-07-24,83.07987976074219
2025-07-25,83.60221862792969
2025-07-28,83.06053924560547
2025-07-29,84.46309661865234
2025-07-30,84.02781677246094
2025-07-31,84.07617950439453
2025-08-01,85.2714614868164
2025-08-04,85.5044937133789
2025-08-05,85.76665496826172
2025-08-06,85.2714614868164
2025-08-07,85.12581634521484
2025-08-08,84.75684356689453
2025-08-11,84.85395050048828
2025-08-12,84.42669677734375
2025-08-13,85.12581634521484
2025-08-14,84.49465942382812
2025-08-15,83.89266967773438
2025-08-18,83.6499252319336
2025-08-19,84.13541412353516
2025-08-20,84.31990051269531
2025-08-21,83.90238952636719
2025-08-22,84.52381134033203
2025-08-25,84.28105926513672
2025-08-26,84.23251342773438
2025-08-27,84.13541412353516
2025-08-28,84.68888092041016
2025-08-29,84.08685302734375
2025-09-02,83.46111297607422
2025-09-03,84.3773193359375
2025-09-04,85.0206069946289
2025-09-05,86.3169174194336
2025-09-08,87.46702575683594
2025-09-09,86.9699478149414
2025-09-10,87.46702575683594
2025-09-11,88.05182647705078
2025-09-12,87.67169952392578
2025-09-15,87.87638854980469
2025-09-16,88.06157684326172
2025-09-17,87.83740234375
2025-09-18,86.93094635009766
2025-09-19,86.7652587890625
2025-09-22,86.453369140625
2025-09-23,87.05765533447266
2025-09-24,86.72628021240234
2025-09-25,86.72628021240234
2025-09-26,86.64830017089844
2025-09-29,87.35980987548828
2025-09-30,87.10640716552734
2025-10-01,87.33135223388672
2025-10-02,87.58565521240234
2025-10-03,87.41937255859375
2025-10-06,86.72494506835938
2025-10-07,87.22376251220703
2025-10-08,87.29222869873047
2025-10-09,87.22376251220703
2025-10-10,88.6321792602539
2025-10-13,88.58325958251953
2025-10-14,88.8669204711914
2025-10-15,88.67131805419922
2025-10-16,89.33637237548828
2025-10-17,89.19944763183594
2025-10-20,89.54177856445312
2025-10-21,89.98190307617188
2025-10-22,90.04058074951172
2025-10-23,89.42440795898438
2025-10-24,89.46353149414062
2025-10-27,89.76673126220703
2025-10-28,90.00146484375
2025-10-29,89.09185791015625
2025-10-30,88.57349395751953
2025-10-31,88.30941009521484
2025-11-03,88.08854675292969
2025-11-04,88.28487396240234
2025-11-05,87.32290649414062
2025-11-06,88.10819244384766
2025-11-07,87.92168426513672
2025-11-10,87.90204620361328
2025-11-11,88.30451202392578
2025-11-12,88.4615707397461
2025-11-13,87.73518371582031
2025-11-14,87.23456573486328
2025-11-17,87.45050811767578
2025-11-18,87.42106628417969
2025-11-19,87.24437713623047
2025-11-20,87.58794403076172
2025-11-21,87.85297393798828
2025-11-24,88.35359954833984
2025-11-25,88.57935333251953
2025-11-26,88.97199249267578
2025-11-28,88.5499038696289
2025-12-01,87.44757080078125
2025-12-02,87.48696899414062
2025-12-03,87.7332534790039
2025-12-04,87.2603988647461
2025-12-05,86.85650634765625
2025-12-08,86.57083129882812
2025-12-09,86.65949249267578
2025-12-10,86.99442291259766
2025-12-11,86.876220703125
2025-12-12,86.03887176513672
2025-12-15,86.09798431396484
2025-12-16,86.57083129882812
2025-12-17,86.49202728271484
2025-12-18,86.90576934814453
2025-12-19,86.5813980102539
2025-12-22,86.39350128173828
2025-12-23,86.53195190429688
2025-12-24,87.05608367919922
2025-12-26,86.76930236816406
2025-12-29,87.09564208984375
2025-12-30,86.88796997070312
2025-12-31,86.19571685791016
2026-01-02,86.06715393066406
2026-01-05,86.49239349365234
2026-01-06,86.31439208984375
2026-01-07,86.8187484741211
2026-01-08,86.38361358642578
2026-01-09,86.95719909667969
2026-01-12,86.7000732421875
2026-01-13,86.8484115600586
2026-01-14,87.35276794433594
2026-01-15,87.3329849243164
