Date,IVV
2019-01-02,224.43313598632812
2019-01-03,218.824951171875
2019-01-04,226.5194091796875
2019-01-07,228.0441131591797
2019-01-08,230.2909393310547
2019-01-09,231.36082458496094
2019-01-10,232.27029418945312
2019-01-11,232.1454315185547
2019-01-14,231.02200317382812
2019-01-15,233.51849365234375
2019-01-16,234.13372802734375
2019-01-17,235.85443115234375
2019-01-18,239.01080322265625
2019-01-22,235.8277130126953
2019-01-23,236.16659545898438
2019-01-24,236.39834594726562
2019-01-25,238.50245666503906
2019-01-28,236.5856170654297
2019-01-29,236.25570678710938
2019-01-30,240.04493713378906
2019-01-31,242.11351013183594
2019-02-01,242.2471923828125
2019-02-04,243.98590087890625
2019-02-05,245.0289764404297
2019-02-06,244.66346740722656
2019-02-07,242.3632049560547
2019-02-08,242.63067626953125
2019-02-11,242.76434326171875
2019-02-12,245.92063903808594
2019-02-13,246.6695098876953
2019-02-14,246.1078643798828
2019-02-15,248.89857482910156
2019-02-19,249.24627685546875
2019-02-20,249.72776794433594
2019-02-21,248.94309997558594
2019-02-22,250.37855529785156
2019-02-25,250.77090454101562
2019-02-26,250.58360290527344
2019-02-27,250.45889282226562
2019-02-28,249.932861328125
2019-03-01,251.7070770263672
2019-03-04,250.68177795410156
2019-03-05,250.36074829101562
2019-03-06,248.7648162841797
2019-03-07,246.7587432861328
2019-03-08,246.2594451904297
2019-03-11,249.8347625732422
2019-03-12,250.71749877929688
2019-03-13,252.45606994628906
2019-03-14,252.3312225341797
2019-03-15,253.46347045898438
2019-03-18,254.47103881835938
2019-03-19,254.58692932128906
2019-03-20,253.6738739013672
2019-03-21,256.52044677734375
2019-03-22,251.6777801513672
2019-03-25,251.45399475097656
2019-03-26,253.2889404296875
2019-03-27,252.05369567871094
2019-03-28,253.04733276367188
2019-03-29,254.72122192382812
2019-04-01,257.6661682128906
2019-04-02,257.7288818359375
2019-04-03,258.1943359375
2019-04-04,258.81201171875
2019-04-05,259.99365234375
2019-04-08,260.280029296875
2019-04-09,258.9372863769531
2019-04-10,259.7877502441406
2019-04-11,259.769775390625
2019-04-12,261.5243225097656
2019-04-15,261.3094482421875
2019-04-16,261.50640869140625
2019-04-17,260.8171691894531
2019-04-18,261.381103515625
2019-04-22,261.6495666503906
2019-04-23,263.92333984375
2019-04-24,263.3682556152344
2019-04-25,263.2071838378906
2019-04-26,264.4871520996094
2019-04-29,264.773681640625
2019-04-30,264.9079284667969
2019-05-01,262.9923400878906
2019-05-02,262.5089111328125
2019-05-03,264.97064208984375
2019-05-06,263.9770202636719
2019-05-07,259.51025390625
2019-05-08,259.1611328125
2019-05-09,258.4450378417969
2019-05-10,259.5908203125
2019-05-13,253.145751953125
2019-05-14,255.40158081054688
2019-05-15,256.9322509765625
2019-05-16,259.197021484375
2019-05-17,257.7110290527344
2019-05-20,255.99234008789062
2019-05-21,258.230224609375
2019-05-22,257.4871826171875
