Date,XLF
2023-01-03,32.536643981933594
2023-01-04,33.058067321777344
2023-01-05,32.81156921386719
2023-01-06,33.541561126708984
2023-01-09,33.418312072753906
2023-01-10,33.6079216003418
2023-01-11,33.9207763671875
2023-01-12,33.98713684082031
2023-01-13,34.243099212646484
2023-01-17,34.01557540893555
2023-01-18,33.38038635253906
2023-01-19,32.991695404052734
2023-01-20,33.51311111450195
2023-01-23,33.90181350708008
2023-01-24,33.9207763671875
2023-01-25,34.18621826171875
2023-01-26,34.36634826660156
2023-01-27,34.36634826660156
2023-01-30,34.19570541381836
2023-01-31,34.660240173339844
2023-02-01,34.660240173339844
2023-02-02,34.75503921508789
2023-02-03,34.68868637084961
2023-02-06,34.679203033447266
2023-02-07,35.0773811340332
2023-02-08,34.868804931640625
2023-02-09,34.4801139831543
2023-02-10,34.5938835144043
2023-02-13,34.99205017089844
2023-02-14,34.80244445800781
2023-02-15,34.84037399291992
2023-02-16,34.48959732055664
2023-02-17,34.49907684326172
2023-02-21,33.78803634643555
2023-02-22,33.750125885009766
2023-02-23,33.778568267822266
2023-02-24,33.8070068359375
2023-02-27,33.79752731323242
2023-02-28,33.86388397216797
2023-03-01,33.750125885009766
2023-03-02,33.58895492553711
2023-03-03,34.1198616027832
2023-03-06,34.1483039855957
2023-03-07,33.26662063598633
2023-03-08,33.143375396728516
2023-03-09,31.797170639038086
2023-03-10,31.218868255615234
2023-03-13,29.986419677734375
2023-03-14,30.59316062927246
2023-03-15,29.777851104736328
2023-03-16,30.346668243408203
2023-03-17,29.370195388793945
2023-03-20,29.696985244750977
2023-03-21,30.449647903442383
2023-03-22,29.7446231842041
2023-03-23,29.544544219970703
2023-03-24,29.525493621826172
2023-03-27,29.935171127319336
2023-03-28,29.92564582824707
2023-03-29,30.363903045654297
2023-03-30,30.297212600708008
2023-03-31,30.630674362182617
2023-04-03,30.687833786010742
2023-04-04,30.402015686035156
2023-04-05,30.363903045654297
2023-04-06,30.47823143005371
2023-04-10,30.544925689697266
2023-04-11,30.811695098876953
2023-04-12,30.74500274658203
2023-04-13,31.021297454833984
2023-04-14,31.326175689697266
2023-04-17,31.688213348388672
2023-04-18,31.783496856689453
2023-04-19,31.859708786010742
2023-04-20,31.764432907104492
2023-04-21,31.650108337402344
2023-04-24,31.573888778686523
2023-04-25,31.030824661254883
2023-04-26,30.735469818115234
2023-04-27,31.23089599609375
2023-04-28,31.60246467590332
2023-05-01,31.5167236328125
2023-05-02,30.80216407775879
2023-05-03,30.449647903442383
2023-05-04,30.059024810791016
2023-05-05,30.80216407775879
2023-05-08,30.849803924560547
2023-05-09,30.735469818115234
2023-05-10,30.563982009887695
2023-05-11,30.516340255737305
2023-05-12,30.392484664916992
2023-05-15,30.64019775390625
2023-05-16,30.354372024536133
2023-05-17,30.964134216308594
2023-05-18,31.192790985107422
2023-05-19,31.05940818786621
2023-05-22,31.116573333740234
2023-05-23,30.75452423095703
2023-05-24,30.354372024536133
2023-05-25,30.344852447509766
2023-05-26,30.592561721801758
2023-05-30,30.583032608032227
2023-05-31,30.25910186767578
2023-06-01,30.583032608032227
2023-06-02,31.249954223632812
