Date,SMH
2022-01-03,153.9279022216797
2022-01-04,153.12802124023438
2022-01-05,147.87515258789062
2022-01-06,149.34323120117188
2022-01-07,144.80247497558594
2022-01-10,144.98779296875
2022-01-11,147.91416931152344
2022-01-12,149.17739868164062
2022-01-13,146.5826873779297
2022-01-14,149.6895294189453
2022-01-18,142.9929656982422
2022-01-19,139.0423583984375
2022-01-20,134.7844696044922
2022-01-21,132.54090881347656
2022-01-24,134.2382049560547
2022-01-25,128.92193603515625
2022-01-26,130.7801971435547
2022-01-27,125.19567108154297
2022-01-28,127.63432312011719
2022-01-31,134.32113647460938
2022-02-01,134.89662170410156
2022-02-02,138.34002685546875
2022-02-03,132.20436096191406
2022-02-04,132.92132568359375
2022-02-07,133.13107299804688
2022-02-08,135.8574676513672
2022-02-09,140.58847045898438
2022-02-10,136.3793487548828
2022-02-11,129.37066650390625
2022-02-14,129.28286743164062
2022-02-15,136.31593322753906
2022-02-16,136.2866668701172
2022-02-17,130.8240966796875
2022-02-18,129.37066650390625
2022-02-22,128.4829864501953
2022-02-23,125.79071044921875
2022-02-24,130.10711669921875
2022-02-25,131.92147827148438
2022-02-28,130.78504943847656
2022-03-01,126.65885925292969
2022-03-02,130.80458068847656
2022-03-03,127.9854965209961
2022-03-04,124.5421142578125
2022-03-07,118.34306335449219
2022-03-08,120.12814331054688
2022-03-09,125.34686279296875
2022-03-10,122.63509368896484
2022-03-11,119.87940216064453
2022-03-14,116.41651916503906
2022-03-15,121.2938232421875
2022-03-16,127.71723937988281
2022-03-17,128.51712036132812
2022-03-18,131.2923126220703
2022-03-21,130.9850311279297
2022-03-22,131.88734436035156
2022-03-23,128.59027099609375
2022-03-24,134.84786987304688
2022-03-25,134.28697204589844
2022-03-28,135.26243591308594
2022-03-29,138.32052612304688
2022-03-30,134.30648803710938
2022-03-31,131.58494567871094
2022-04-01,129.4535675048828
2022-04-04,131.58981323242188
2022-04-05,125.91263580322266
2022-04-06,123.30815887451172
2022-04-07,123.3276596069336
2022-04-08,120.39640045166016
2022-04-11,117.68949127197266
2022-04-12,117.0554428100586
2022-04-13,119.83550262451172
2022-04-14,116.18728637695312
2022-04-18,118.1772232055664
2022-04-19,120.69391632080078
2022-04-20,120.47443389892578
2022-04-21,117.17250061035156
2022-04-22,114.48509979248047
2022-04-25,116.46528625488281
2022-04-26,111.50018310546875
2022-04-27,110.96368408203125
2022-04-28,117.29930114746094
2022-04-29,112.10497283935547
2022-05-02,115.36788940429688
2022-05-03,116.31409454345703
2022-05-04,120.3037338256836
2022-05-05,114.65581512451172
2022-05-06,113.4803695678711
2022-05-09,107.73490142822266
2022-05-10,110.51984405517578
2022-05-11,107.13011169433594
2022-05-12,107.63735961914062
2022-05-13,113.2803955078125
2022-05-16,111.45140838623047
2022-05-17,116.78231811523438
2022-05-18,111.20267486572266
2022-05-19,111.23193359375
2022-05-20,111.28557586669922
2022-05-23,112.17813110351562
2022-05-24,109.21759796142578
2022-05-25,111.49043273925781
2022-05-26,115.2166976928711
2022-05-27,119.7867431640625
2022-05-31,119.28925323486328
