Date,SPY
2022-01-03,450.6444396972656
2022-01-04,450.4934997558594
2022-01-05,441.8430480957031
2022-01-06,441.4279479980469
2022-01-07,439.6827697753906
2022-01-10,439.13568115234375
2022-01-11,443.13543701171875
2022-01-12,444.33343505859375
2022-01-13,438.2112121582031
2022-01-14,438.39044189453125
2022-01-18,430.6266784667969
2022-01-19,426.1551818847656
2022-01-20,421.4385070800781
2022-01-21,413.16546630859375
2022-01-24,414.9200744628906
2022-01-25,409.8543395996094
2022-01-26,408.8260498046875
2022-01-27,406.8072509765625
2022-01-28,416.9105529785156
2022-01-31,424.4195251464844
2022-02-01,427.2872619628906
2022-02-02,431.4379577636719
2022-02-03,421.29705810546875
2022-02-04,423.278076171875
2022-02-07,421.9196472167969
2022-02-08,425.3911437988281
2022-02-09,431.61724853515625
2022-02-10,423.86297607421875
2022-02-11,415.5048828125
2022-02-14,414.146484375
2022-02-15,420.82537841796875
2022-02-16,421.29705810546875
2022-02-17,412.2975769042969
2022-02-18,409.62786865234375
2022-02-22,405.23193359375
2022-02-23,398.0436706542969
2022-02-24,404.0338134765625
2022-02-25,412.9485168457031
2022-02-28,411.8918762207031
2022-03-01,405.61871337890625
2022-03-02,413.08050537109375
2022-03-03,411.0240478515625
2022-03-04,407.6845703125
2022-03-07,395.6664123535156
2022-03-08,392.6665954589844
2022-03-09,403.19427490234375
2022-03-10,401.3736267089844
2022-03-11,396.2701416015625
2022-03-14,393.37408447265625
2022-03-15,402.0245666503906
2022-03-16,410.9391174316406
2022-03-17,416.08038330078125
2022-03-18,420.6376037597656
2022-03-21,420.5145568847656
2022-03-22,425.4352111816406
2022-03-23,419.956298828125
2022-03-24,426.2868957519531
2022-03-25,428.3686828613281
2022-03-28,431.4156799316406
2022-03-29,436.7526550292969
2022-03-30,434.0557861328125
2022-03-31,427.3750915527344
2022-04-01,428.5863037109375
2022-04-04,432.2578430175781
2022-04-05,426.7978820800781
2022-04-06,422.5301208496094
2022-04-07,424.65924072265625
2022-04-08,423.5237121582031
2022-04-11,416.2847900390625
2022-04-12,414.7422790527344
2022-04-13,419.49261474609375
2022-04-14,414.2691955566406
2022-04-18,414.4395446777344
2022-04-19,421.1296691894531
2022-04-20,420.8173828125
2022-04-21,414.524658203125
2022-04-22,403.1504821777344
2022-04-25,405.4877624511719
2022-04-26,393.7444763183594
2022-04-27,394.85174560546875
2022-04-28,404.8253479003906
2022-04-29,389.8647766113281
2022-05-02,392.2115478515625
2022-05-03,394.0094909667969
2022-05-04,406.00823974609375
2022-05-05,391.5775146484375
2022-05-06,389.24017333984375
2022-05-09,376.77783203125
2022-05-10,377.64837646484375
2022-05-11,371.6489562988281
2022-05-12,371.2610168457031
2022-05-13,380.1371154785156
2022-05-16,378.5946350097656
2022-05-17,386.3825378417969
2022-05-18,370.8067932128906
2022-05-19,368.5357971191406
2022-05-20,368.6966552734375
2022-05-23,375.5950012207031
2022-05-24,372.7278137207031
2022-05-25,376.0207824707031
2022-05-26,383.5342102050781
2022-05-27,392.9496154785156
2022-05-31,390.7447814941406
2022-06-01,387.584228515625
2022-06-02,394.9652099609375
2022-06-03,388.48321533203125
2022-06-06,389.66607666015625
2022-06-07,393.4038391113281
2022-06-08,389.1267395019531
2022-06-09,379.87213134765625
2022-06-10,368.85748291015625
2022-06-13,354.8526306152344
2022-06-14,353.7833251953125
2022-06-15,358.8270568847656
2022-06-16,346.9512023925781
2022-06-17,347.6991882324219
2022-06-21,356.4520263671875
2022-06-22,355.8058166503906
2022-06-23,359.2936706542969
2022-06-24,370.717041015625
2022-06-27,369.3009948730469
2022-06-28,361.755126953125
2022-06-29,361.4604187011719
2022-06-30,358.52386474609375
2022-07-01,362.3158264160156
2022-07-05,363.0
2022-07-06,364.2259216308594
2022-07-07,369.6810607910156
2022-07-08,369.376953125
2022-07-11,365.1573486328125
2022-07-12,361.9261169433594
2022-07-13,360.025390625
2022-07-14,359.151123046875
2022-07-15,366.0126647949219
2022-07-18,362.9905090332031
2022-07-19,372.7982177734375
2022-07-20,375.17413330078125
2022-07-21,378.99462890625
2022-07-22,375.4783020019531
2022-07-25,375.9344482421875
2022-07-26,371.48675537109375
2022-07-27,381.13287353515625
2022-07-28,385.9132385253906
2022-07-29,391.5393371582031
2022-08-01,390.3799133300781
2022-08-02,387.804443359375
2022-08-03,393.8772888183594
2022-08-04,393.6111755371094
2022-08-05,392.9459228515625
2022-08-08,392.4897766113281
2022-08-09,390.93115234375
2022-08-10,399.14227294921875
2022-08-11,399.14227294921875
2022-08-12,405.8992919921875
2022-08-15,407.572021484375
2022-08-16,408.37030029296875
2022-08-17,405.4717102050781
2022-08-18,406.6501770019531
2022-08-19,401.185546875
2022-08-22,392.8319396972656
2022-08-23,391.8814697265625
2022-08-24,393.135986328125
2022-08-25,398.6860656738281
2022-08-26,385.1909484863281
2022-08-29,382.64398193359375
2022-08-30,378.4433898925781
2022-08-31,375.5638122558594
2022-09-01,376.7422180175781
2022-09-02,372.7696533203125
2022-09-06,371.3631896972656
2022-09-07,378.0347900390625
2022-09-08,380.5056457519531
2022-09-09,386.41693115234375
2022-09-12,390.57000732421875
2022-09-13,373.5870666503906
2022-09-14,375.01263427734375
2022-09-15,370.7549743652344
2022-09-16,367.9264831542969
2022-09-19,370.7798156738281
2022-09-20,366.5237731933594
2022-09-21,360.1301574707031
2022-09-22,357.105224609375
2022-09-23,351.1219177246094
2022-09-26,347.64837646484375
2022-09-27,346.7608642578125
2022-09-28,353.58392333984375
2022-09-29,346.1979064941406
2022-09-30,340.84442138671875
2022-10-03,349.84326171875
2022-10-04,360.68359375
2022-10-05,359.8438720703125
2022-10-06,356.1318054199219
2022-10-07,346.1979064941406
2022-10-10,343.5545959472656
2022-10-11,341.37890625
2022-10-12,340.2527770996094
2022-10-13,349.232421875
2022-10-14,341.2738952636719
2022-10-17,350.04364013671875
2022-10-18,354.1564636230469
2022-10-19,351.646728515625
2022-10-20,348.6980895996094
2022-10-21,357.1719665527344
2022-10-24,361.5424499511719
2022-10-25,367.3157958984375
2022-10-26,364.5484313964844
2022-10-27,362.60174560546875
2022-10-28,371.228271484375
2022-10-31,368.54681396484375
2022-11-01,366.9341125488281
2022-11-02,357.72540283203125
2022-11-03,354.0419616699219
2022-11-04,359.1376953125
2022-11-07,362.5730895996094
2022-11-08,364.52935791015625
2022-11-09,357.019287109375
2022-11-10,376.63897705078125
2022-11-11,380.28424072265625
2022-11-14,377.04925537109375
2022-11-15,380.2652282714844
2022-11-16,377.3641662597656
2022-11-17,376.20947265625
2022-11-18,377.9176025390625
2022-11-21,376.54351806640625
2022-11-22,381.61065673828125
2022-11-23,384.0154724121094
2022-11-25,383.92950439453125
2022-11-28,377.8031921386719
2022-11-29,377.15423583984375
2022-11-30,389.0348815917969
2022-12-01,388.7486267089844
2022-12-02,388.300048828125
2022-12-05,381.31488037109375
2022-12-06,375.8182678222656
2022-12-07,375.1789245605469
2022-12-08,378.11810302734375
2022-12-09,375.2934875488281
2022-12-12,380.70416259765625
2022-12-13,383.5860290527344
2022-12-14,381.133544921875
2022-12-15,371.8103332519531
2022-12-16,367.42071533203125
2022-12-19,364.3050537109375
2022-12-20,364.8037109375
2022-12-21,370.2583923339844
2022-12-22,364.9762268066406
2022-12-23,367.07562255859375
2022-12-27,365.6280517578125
2022-12-28,361.0841064453125
2022-12-29,367.58367919921875
2022-12-30,366.6155090332031
2023-01-03,365.0721130371094
2023-01-04,367.8904724121094
2023-01-05,363.6915588378906
2023-01-06,372.0318298339844
2023-01-09,371.8208923339844
2023-01-10,374.42840576171875
2023-01-11,379.1641845703125
2023-01-12,380.54461669921875
2023-01-13,382.0209655761719
2023-01-17,381.3211364746094
2023-01-18,375.30078125
