Date,GLD
2019-01-02,121.33000183105469
2019-01-03,122.43000030517578
2019-01-04,121.44000244140625
2019-01-07,121.86000061035156
2019-01-08,121.52999877929688
2019-01-09,122.30999755859375
2019-01-10,121.58999633789062
2019-01-11,121.80000305175781
2019-01-14,122.08999633789062
2019-01-15,121.87999725341797
2019-01-16,122.2699966430664
2019-01-17,122.11000061035156
2019-01-18,121.0199966430664
2019-01-22,121.44999694824219
2019-01-23,121.27999877929688
2019-01-24,121.08999633789062
2019-01-25,122.86000061035156
2019-01-28,123.29000091552734
2019-01-29,123.9800033569336
2019-01-30,124.69000244140625
2019-01-31,124.75
2019-02-01,124.5
2019-02-04,123.95999908447266
2019-02-05,124.27999877929688
2019-02-06,123.44000244140625
2019-02-07,123.73999786376953
2019-02-08,124.20999908447266
2019-02-11,123.5999984741211
2019-02-12,123.86000061035156
2019-02-13,123.37000274658203
2019-02-14,124.05999755859375
2019-02-15,124.80000305175781
2019-02-19,126.69999694824219
2019-02-20,126.4800033569336
2019-02-21,125.05000305175781
2019-02-22,125.5
2019-02-25,125.37000274658203
2019-02-26,125.58000183105469
2019-02-27,124.69000244140625
2019-02-28,123.98999786376953
2019-03-01,121.87999725341797
2019-03-04,121.55999755859375
2019-03-05,121.72000122070312
2019-03-06,121.61000061035156
2019-03-07,121.51000213623047
2019-03-08,122.83999633789062
2019-03-11,122.23999786376953
2019-03-12,122.9800033569336
2019-03-13,123.83999633789062
2019-03-14,122.41000366210938
2019-03-15,122.97000122070312
2019-03-18,123.04000091552734
2019-03-19,123.37999725341797
2019-03-20,124.18000030517578
2019-03-21,123.68000030517578
2019-03-22,123.97000122070312
2019-03-25,124.91999816894531
2019-03-26,124.30000305175781
2019-03-27,123.6500015258789
2019-03-28,121.9000015258789
2019-03-29,122.01000213623047
2019-04-01,121.52999877929688
2019-04-02,121.9800033569336
2019-04-03,121.80000305175781
2019-04-04,122.11000061035156
2019-04-05,121.9800033569336
2019-04-08,122.51000213623047
2019-04-09,123.1500015258789
