Date,EEM
2019-01-02,33.31909942626953
2019-01-03,32.714996337890625
2019-01-04,33.770042419433594
2019-01-07,33.84661102294922
2019-01-08,33.974246978759766
2019-01-09,34.57833480834961
2019-01-10,34.82508087158203
2019-01-11,34.65492248535156
2019-01-14,34.36563491821289
2019-01-15,34.60387420654297
2019-01-16,35.029296875
2019-01-17,35.18244171142578
2019-01-18,35.35261154174805
2019-01-22,34.74000549316406
2019-01-23,35.09736251831055
2019-01-24,35.43769836425781
2019-01-25,35.90566635131836
2019-01-28,35.53129196166992
2019-01-29,35.59085464477539
2019-01-30,36.365116119384766
2019-01-31,36.671417236328125
2019-02-01,36.38214111328125
2019-02-04,36.44169998168945
2019-02-05,36.943695068359375
2019-02-06,36.44169998168945
2019-02-07,36.07583236694336
2019-02-08,35.87163162231445
2019-02-11,35.75251007080078
2019-02-12,36.05030059814453
2019-02-13,35.7950553894043
2019-02-14,35.863121032714844
2019-02-15,35.81208038330078
2019-02-19,36.09284973144531
2019-02-20,36.29704666137695
2019-02-21,36.22047424316406
2019-02-22,36.62037658691406
2019-02-25,37.02877426147461
2019-02-26,36.901153564453125
2019-02-27,36.586341857910156
2019-02-28,36.10986328125
2019-03-01,36.15241241455078
2019-03-04,36.20345687866211
2019-03-05,36.56081008911133
2019-03-06,36.35660934448242
2019-03-07,35.6844367980957
2019-03-08,35.42918395996094
2019-03-11,36.09284973144531
2019-03-12,36.2800407409668
2019-03-13,36.322574615478516
2019-03-14,36.12687683105469
2019-03-15,36.6544075012207
2019-03-18,37.06281280517578
2019-03-19,37.079833984375
2019-03-20,37.1393928527832
2019-03-21,37.190433502197266
2019-03-22,36.10135269165039
2019-03-25,36.18644714355469
2019-03-26,36.29704666137695
2019-03-27,35.90566635131836
2019-03-28,36.14389419555664
2019-03-29,36.51826095581055
2019-04-01,37.12237548828125
2019-04-02,37.00325393676758
2019-04-03,37.258506774902344
2019-04-04,37.48823165893555
2019-04-05,37.77751922607422
2019-04-08,37.77751922607422
2019-04-09,37.70094680786133
2019-04-10,37.87962341308594
2019-04-11,37.471221923828125
2019-04-12,37.74348449707031
2019-04-15,37.547794342041016
2019-04-16,37.828575134277344
2019-04-17,37.93918228149414
2019-04-18,37.91365432739258
2019-04-22,37.66691207885742
2019-04-23,37.75199508666992
2019-04-24,37.24148941040039
2019-04-25,37.190433502197266
2019-04-26,37.3350830078125
2019-04-29,37.41166305541992
2019-04-30,37.37762451171875
2019-05-01,37.09684753417969
2019-05-02,37.18193054199219
2019-05-03,37.62437057495117
2019-05-06,36.85009765625
2019-05-07,36.12687683105469
2019-05-08,36.07583236694336
2019-05-09,35.505760192871094
2019-05-10,35.718482971191406
2019-05-13,34.52729415893555
2019-05-14,35.01226806640625
2019-05-15,35.080345153808594
2019-05-16,34.91017150878906
2019-05-17,34.280548095703125
2019-05-20,34.135902404785156
2019-05-21,34.56984329223633
2019-05-22,34.39966583251953
2019-05-23,33.95722961425781
2019-05-24,33.99126434326172
2019-05-28,34.110389709472656
2019-05-29,34.33159255981445
2019-05-30,34.51877975463867
2019-05-31,34.63789749145508
2019-06-03,34.952720642089844
2019-06-04,35.029296875
2019-06-05,34.74851608276367
2019-06-06,34.76552963256836
2019-06-07,35.037803649902344
2019-06-10,35.403663635253906
2019-06-11,35.80356216430664
2019-06-12,35.420684814453125
2019-06-13,35.36112594604492
2019-06-14,34.96973419189453
2019-06-17,35.10776138305664
2019-06-18,35.95651626586914
2019-06-19,36.256595611572266
2019-06-20,36.78813552856445
2019-06-21,36.66810607910156
2019-06-24,36.61668014526367
2019-06-25,36.23944091796875
2019-06-26,36.58237075805664
2019-06-27,36.839576721191406
2019-06-28,36.78813552856445
2019-07-01,37.22536849975586
2019-07-02,37.13106155395508
2019-07-03,37.06248474121094
2019-07-05,36.8052864074707
2019-07-08,36.58237075805664
2019-07-09,36.47092819213867
2019-07-10,36.779563903808594
2019-07-11,36.710975646972656
2019-07-12,36.736698150634766
2019-07-15,36.873870849609375
2019-07-16,36.82242965698242
2019-07-17,36.710975646972656
2019-07-18,36.93388748168945
2019-07-19,36.745262145996094
2019-07-22,36.753841400146484
