Date,XLV
2019-01-02,75.2732925415039
2019-01-03,73.7448501586914
2019-01-04,75.94474029541016
2019-01-07,76.23628997802734
2019-01-08,76.8282470703125
2019-01-09,77.17278289794922
2019-01-10,77.32298278808594
2019-01-11,77.57919311523438
2019-01-14,76.72218322753906
2019-01-15,78.10045623779297
2019-01-16,77.95909118652344
2019-01-17,78.6482162475586
2019-01-18,79.58470916748047
2019-01-22,79.0369644165039
2019-01-23,79.12529754638672
2019-01-24,78.46265411376953
2019-01-25,78.55986785888672
2019-01-28,77.66753387451172
2019-01-29,78.04742431640625
2019-01-30,79.11647033691406
2019-01-31,80.10596466064453
2019-02-01,80.17662048339844
2019-02-04,79.94693756103516
2019-02-05,79.83206939697266
2019-02-06,80.19432830810547
2019-02-07,79.31082916259766
2019-02-08,79.4610366821289
2019-02-11,79.36383819580078
2019-02-12,80.45053100585938
2019-02-13,80.62725067138672
2019-02-14,80.81277465820312
2019-02-15,82.03196716308594
2019-02-19,81.83759307861328
2019-02-20,81.74041748046875
2019-02-21,81.02481079101562
2019-02-22,81.76692962646484
2019-02-25,81.88179016113281
2019-02-26,81.5902328491211
2019-02-27,81.2103271484375
2019-02-28,80.9717788696289
2019-03-01,82.12032318115234
2019-03-04,81.00712585449219
2019-03-05,80.96294403076172
2019-03-06,79.7790756225586
2019-03-07,79.15179443359375
2019-03-08,78.98394775390625
2019-03-11,79.88507843017578
2019-03-12,80.46820831298828
2019-03-13,81.3340072631836
2019-03-14,81.20152282714844
2019-03-15,81.57483673095703
2019-03-18,81.45067596435547
2019-03-19,82.0980224609375
2019-03-20,81.53050994873047
2019-03-21,81.84973907470703
2019-03-22,80.3599624633789
2019-03-25,80.31560516357422
2019-03-26,80.86538696289062
2019-03-27,80.19145202636719
2019-03-28,80.39539337158203
2019-03-29,81.36199188232422
2019-04-01,81.48614501953125
2019-04-02,81.29993438720703
2019-04-03,81.19351959228516
2019-04-04,81.02503204345703
2019-04-05,81.58370208740234
2019-04-08,81.56593322753906
2019-04-09,81.35314178466797
2019-04-10,81.37972259521484
2019-04-11,80.37767791748047
2019-04-12,79.64165496826172
2019-04-15,79.96088409423828
2019-04-16,78.32034301757812
2019-04-17,76.06793212890625
2019-04-18,76.19205474853516
2019-04-22,76.23644256591797
2019-04-23,77.44245147705078
2019-04-24,77.35375213623047
2019-04-25,78.15187072753906
2019-04-26,78.93222045898438
2019-04-29,78.79034423828125
2019-04-30,79.1539306640625
2019-05-01,79.01202392578125
2019-05-02,79.3490219116211
2019-05-03,79.95201873779297
2019-05-06,80.3599624633789
2019-05-07,78.81694030761719
2019-05-08,78.98543548583984
2019-05-09,78.81694030761719
2019-05-10,78.84353637695312
2019-05-13,77.36263275146484
2019-05-14,77.7528076171875
2019-05-15,77.9833755493164
2019-05-16,78.5952377319336
2019-05-17,78.4267807006836
2019-05-20,78.39129638671875
2019-05-21,79.12733459472656
2019-05-22,79.57958984375
2019-05-23,79.3046875
2019-05-24,79.41996002197266
2019-05-28,78.28489685058594
2019-05-29,77.5311279296875
2019-05-30,77.9567642211914
2019-05-31,77.39810943603516
2019-06-03,77.5843276977539
2019-06-04,78.87015533447266
2019-06-05,79.46429443359375
2019-06-06,79.87223052978516
2019-06-07,80.70579528808594
2019-06-10,80.9452133178711
2019-06-11,80.81220245361328
2019-06-12,81.2023696899414
2019-06-13,81.1048583984375
2019-06-14,80.91860961914062
2019-06-17,81.2822036743164
2019-06-18,81.97388458251953
2019-06-19,82.70989990234375
2019-06-20,83.07349395751953
2019-06-21,83.47248077392578
2019-06-24,83.03607177734375
2019-06-25,82.69766998291016
2019-06-26,81.65568542480469
2019-06-27,82.22567749023438
2019-06-28,82.50175476074219
2019-07-01,82.91139221191406
2019-07-02,83.3566665649414
2019-07-03,84.06912994384766
2019-07-05,83.49028778076172
2019-07-08,82.86688232421875
2019-07-09,82.9470443725586
2019-07-10,83.23199462890625
2019-07-11,83.24984741210938
2019-07-12,82.32362365722656
2019-07-15,82.50175476074219
2019-07-16,82.09207153320312
2019-07-17,82.10990142822266
2019-07-18,82.57298278808594
2019-07-19,81.71803283691406
2019-07-22,81.548828125
2019-07-23,82.05647277832031
2019-07-24,82.10099792480469
2019-07-25,81.70023345947266
2019-07-26,81.99410247802734
2019-07-29,82.33255004882812
2019-07-30,81.97631072998047
2019-07-31,81.1659164428711
2019-08-01,81.27276611328125
2019-08-02,81.08574676513672
2019-08-05,79.17996215820312
2019-08-06,80.2041015625
2019-08-07,80.23082733154297
2019-08-08,81.29947662353516
2019-08-09,81.39744567871094
2019-08-12,80.60485076904297
2019-08-13,81.65568542480469
2019-08-14,79.38478088378906
2019-08-15,79.66085815429688
2019-08-16,80.64046478271484
2019-08-19,81.41527557373047
2019-08-20,80.72062683105469
2019-08-21,81.31729125976562
2019-08-22,80.91656494140625
2019-08-23,79.0463638305664
2019-08-26,79.87459564208984
2019-08-27,79.40260314941406
2019-08-28,79.9814453125
2019-08-29,80.5870132446289
2019-08-30,80.68498229980469
2019-09-03,80.2129898071289
2019-09-04,80.26641845703125
2019-09-05,81.05903625488281
2019-09-06,81.28167724609375
2019-09-09,80.53359985351562
2019-09-10,80.76515197753906
2019-09-11,81.5666732788086
2019-09-12,81.53997039794922
2019-09-13,81.49542999267578
2019-09-16,81.31729125976562
2019-09-17,81.44197845458984
2019-09-18,81.43307495117188
2019-09-19,81.8160171508789
2019-09-20,82.27207946777344
2019-09-23,81.83391571044922
2019-09-24,81.08273315429688
2019-09-25,80.68923950195312
2019-09-26,80.24212646484375
2019-09-27,79.8844223022461
2019-09-30,80.59980773925781
2019-10-01,79.8128433227539
2019-10-02,78.65031433105469
2019-10-03,79.35680389404297
2019-10-04,80.59980773925781
2019-10-07,80.33155059814453
2019-10-08,78.8023452758789
2019-10-09,79.37467956542969
2019-10-10,79.76812744140625
2019-10-11,80.42990112304688
2019-10-14,80.39413452148438
2019-10-15,81.86072540283203
2019-10-16,81.75342559814453
2019-10-17,82.36151123046875
2019-10-18,82.05744934082031
2019-10-21,81.9680404663086
2019-10-22,82.14688110351562
2019-10-23,82.65662384033203
2019-10-24,82.23631286621094
2019-10-25,82.32573699951172
2019-10-28,83.17529296875
2019-10-29,84.355712890625
2019-10-30,84.82968139648438
2019-10-31,84.7313003540039
2019-11-01,84.83861541748047
2019-11-04,84.57927703857422
2019-11-05,83.9801254272461
2019-11-06,84.26631164550781
2019-11-07,84.45407104492188
2019-11-08,85.07110595703125
2019-11-11,84.72235870361328
2019-11-12,85.23208618164062
2019-11-13,85.33045959472656
2019-11-14,85.33939361572266
2019-11-15,87.15472412109375
2019-11-18,86.85964965820312
