Date,XLE
2019-01-02,21.12374496459961
2019-01-03,20.914249420166016
2019-01-04,21.62583351135254
2019-01-07,21.947315216064453
2019-01-08,22.117088317871094
2019-01-09,22.467464447021484
2019-01-10,22.532482147216797
2019-01-11,22.398826599121094
2019-01-14,22.344648361206055
2019-01-15,22.424118041992188
2019-01-16,22.395219802856445
2019-01-17,22.601112365722656
2019-01-18,23.05985450744629
2019-01-22,22.55776596069336
2019-01-23,22.326583862304688
2019-01-24,22.445791244506836
2019-01-25,22.731149673461914
2019-01-28,22.50358772277832
2019-01-29,22.57221794128418
2019-01-30,22.89008140563965
2019-01-31,23.03818130493164
2019-02-01,23.439128875732422
2019-02-04,23.493309020996094
2019-02-05,23.529428482055664
2019-02-06,23.356050491333008
2019-02-07,22.83951187133789
2019-02-08,22.734764099121094
2019-02-11,22.843128204345703
2019-02-12,23.132097244262695
2019-02-13,23.421058654785156
2019-02-14,23.5041446685791
2019-02-15,23.8834171295166
2019-02-19,23.955659866333008
2019-02-20,24.056804656982422
2019-02-21,23.684751510620117
2019-02-22,23.753385543823242
2019-02-25,23.793115615844727
2019-02-26,23.71726417541504
2019-02-27,23.807567596435547
2019-02-28,23.56916618347168
2019-03-01,24.002613067626953
2019-03-04,24.04595947265625
2019-03-05,23.966501235961914
2019-03-06,23.6630802154541
2019-03-07,23.522205352783203
2019-03-08,23.081527709960938
2019-03-11,23.442737579345703
2019-03-12,23.594449996948242
2019-03-13,23.832847595214844
2019-03-14,23.858139038085938
2019-03-15,23.848663330078125
2019-03-18,24.179948806762695
2019-03-19,24.11441993713379
2019-03-20,24.32556915283203
2019-03-21,24.496673583984375
2019-03-22,23.8341007232666
2019-03-25,23.845029830932617
2019-03-26,24.187227249145508
2019-03-27,24.016128540039062
2019-03-28,24.10713768005371
2019-03-29,24.07073211669922
2019-04-01,24.387449264526367
2019-04-02,24.219995498657227
2019-04-03,23.987003326416016
2019-04-04,24.187227249145508
2019-04-05,24.613161087036133
2019-04-08,24.722383499145508
2019-04-09,24.42022132873535
2019-04-10,24.511232376098633
2019-04-11,24.529436111450195
2019-04-12,24.59496307373047
2019-04-15,24.44934844970703
2019-04-16,24.609527587890625
2019-04-17,24.576759338378906
2019-04-18,24.46026039123535
2019-04-22,24.97720718383789
2019-04-23,24.937171936035156
2019-04-24,24.50031280517578
2019-04-25,24.42385482788086
2019-04-26,24.10713768005371
2019-04-29,24.08530044555664
2019-04-30,24.067096710205078
2019-05-01,23.58655548095703
