Date,HYG
2025-05-30,75.45842742919922
2025-06-02,75.4450912475586
2025-06-03,75.58802032470703
2025-06-04,75.73095703125
2025-06-05,75.5689697265625
2025-06-06,75.55943298339844
2025-06-09,75.59754180908203
2025-06-10,75.77859497070312
2025-06-11,75.75952911376953
2025-06-12,75.84528350830078
2025-06-13,75.61660766601562
2025-06-16,75.76905822753906
2025-06-17,75.68329620361328
2025-06-18,75.79765319824219
2025-06-20,76.03585815429688
2025-06-23,76.17877960205078
2025-06-24,76.38839721679688
2025-06-25,76.36935424804688
2025-06-26,76.58848571777344
2025-06-27,76.55037689208984
2025-06-30,76.84574890136719
2025-07-01,76.74906158447266
2025-07-02,76.89265441894531
2025-07-03,76.9405288696289
2025-07-07,76.68204498291016
2025-07-08,76.57674407958984
2025-07-09,76.78736877441406
2025-07-10,76.71076202392578
2025-07-11,76.61504364013672
2025-07-14,76.6724853515625
2025-07-15,76.44271087646484
2025-07-16,76.64375305175781
2025-07-17,76.72035217285156
2025-07-18,76.82563781738281
2025-07-21,76.93096923828125
2025-07-22,77.06497955322266
2025-07-23,77.10327911376953
2025-07-24,77.00753784179688
2025-07-25,77.05541229248047
2025-07-28,77.01712036132812
2025-07-29,77.06497955322266
2025-07-30,76.9022445678711
2025-07-31,76.9500961303711
2025-08-01,76.9539566040039
2025-08-04,77.21373748779297
2025-08-05,77.17523956298828
2025-08-06,77.2522201538086
2025-08-07,77.17523956298828
2025-08-08,77.18486785888672
2025-08-11,77.18486785888672
2025-08-12,77.35806274414062
2025-08-13,77.56011962890625
2025-08-14,77.35806274414062
2025-08-15,77.4157943725586
2025-08-18,77.35806274414062
2025-08-19,77.33880615234375
2025-08-20,77.30994415283203
2025-08-21,77.16561889648438
2025-08-22,77.79103088378906
2025-08-25,77.63709259033203
2025-08-26,77.8102798461914
2025-08-27,77.90648651123047
2025-08-28,77.94499206542969
2025-08-29,77.80065155029297
2025-09-02,77.716552734375
2025-09-03,77.92922973632812
2025-09-04,78.14191436767578
2025-09-05,78.18058013916016
2025-09-08,78.18058013916016
2025-09-09,78.09358215332031
2025-09-10,78.1515884399414
2025-09-11,78.34493255615234
2025-09-12,78.26758575439453
2025-09-15,78.48995971679688
2025-09-16,78.43192291259766
2025-09-17,78.35459899902344
2025-09-18,78.52861785888672
2025-09-19,78.55760955810547
2025-09-22,78.6156234741211
2025-09-23,78.55760955810547
2025-09-24,78.4512710571289
2025-09-25,78.22892761230469
2025-09-26,78.38359832763672
2025-09-29,78.51895141601562
2025-09-30,78.48995971679688
2025-10-01,78.63660430908203
2025-10-02,78.60746765136719
2025-10-03,78.52005004882812
2025-10-06,78.53947448730469
2025-10-07,78.45206451416016
2025-10-08,78.33551025390625
2025-10-09,78.11210632324219
2025-10-10,77.65558624267578
2025-10-13,78.1412353515625
2025-10-14,78.22866821289062
2025-10-15,78.481201171875
2025-10-16,78.19953155517578
2025-10-17,78.40349578857422
2025-10-20,78.55889892578125
2025-10-21,78.4423599243164
2025-10-22,78.3646469116211
2025-10-23,78.53947448730469
2025-10-24,78.75316619873047
2025-10-27,78.94742584228516
2025-10-28,78.86971282958984
2025-10-29,78.62689971923828
2025-10-30,78.481201171875
2025-10-31,78.481201171875
2025-11-03,78.23713684082031
2025-11-04,78.24690246582031
2025-11-05,78.32500457763672
2025-11-06,78.35428619384766
2025-11-07,78.4226303100586
2025-11-10,78.68621063232422
2025-11-11,78.77407836914062
2025-11-12,78.61788177490234
2025-11-13,78.29570770263672
2025-11-14,78.31523895263672
2025-11-17,78.18832397460938
2025-11-18,78.2078628540039
2025-11-19,78.24690246582031
2025-11-20,78.19808959960938
2025-11-21,78.46167755126953
2025-11-24,78.67645263671875
2025-11-25,78.94981384277344
2025-11-26,79.02790832519531
2025-11-28,79.06695556640625
2025-12-01,78.92473602294922
2025-12-02,79.07185363769531
2025-12-03,79.14051818847656
2025-12-04,79.1993637084961
2025-12-05,79.1993637084961
2025-12-08,79.00320434570312
2025-12-09,78.91493225097656
2025-12-10,79.17974853515625
2025-12-11,79.16993713378906
2025-12-12,79.02281188964844
2025-12-15,79.06205749511719
2025-12-16,79.11109924316406
2025-12-17,79.01300811767578
2025-12-18,79.2287826538086
2025-12-19,79.19035339355469
2025-12-22,79.25933074951172
2025-12-23,79.31846618652344
2025-12-24,79.4662857055664
2025-12-26,79.4268569946289
2025-12-29,79.4564208984375
2025-12-30,79.53526306152344
2025-12-31,79.4564208984375
2026-01-02,79.49583435058594
2026-01-05,79.7027816772461
2026-01-06,79.72249603271484
2026-01-07,79.7027816772461
2026-01-08,79.76191711425781
2026-01-09,79.82103729248047
2026-01-12,79.86045837402344
2026-01-13,79.86045837402344
2026-01-14,79.86045837402344
2026-01-15,79.86045837402344
2026-01-16,79.90972900390625
2026-01-20,79.7027816772461
2026-01-21,79.93930053710938
2026-01-22,79.99842071533203
2026-01-23,79.9590072631836
2026-01-26,79.99842071533203
2026-01-27,79.98857116699219
2026-01-28,79.86045837402344
2026-01-29,79.85060119628906
2026-01-30,79.93930053710938
2026-02-02,79.9878158569336
2026-02-03,79.93830108642578
2026-02-04,79.83927154541016
2026-02-05,79.75013732910156
2026-02-06,80.02742767333984
2026-02-09,80.13636779785156
2026-02-10,80.05713653564453
2026-02-11,80.0472412109375
2026-02-12,80.00762939453125
2026-02-13,80.0670394897461
2026-02-17,80.02742767333984
2026-02-18,80.12646484375
2026-02-19,80.15617370605469
2026-02-20,80.21558380126953
2026-02-23,80.08685302734375
2026-02-24,80.02742767333984
2026-02-25,80.13636779785156
2026-02-26,80.0670394897461
2026-02-27,79.93830108642578
2026-03-02,79.89252471923828
2026-03-03,79.7332992553711
2026-03-04,80.01194763183594
2026-03-05,79.69348907470703
2026-03-06,79.30537414550781
2026-03-09,79.78305053710938
2026-03-10,79.6536865234375
2026-03-11,79.47455596923828
2026-03-12,78.96701049804688
2026-03-13,78.81773376464844
2026-03-16,79.0665283203125
2026-03-17,79.42478942871094
2026-03-18,79.01677703857422
2026-03-19,79.27552032470703
2026-03-20,78.5390853881836
2026-03-23,79.05657958984375
2026-03-24,78.78787994384766
2026-03-25,79.03667449951172
2026-03-26,78.5390853881836
2026-03-27,78.34005737304688
2026-03-30,78.42961883544922
2026-03-31,79.17599487304688
2026-04-01,79.37000274658203
2026-04-02,79.55999755859375
2026-04-06,79.69999694824219
2026-04-07,79.72000122070312
2026-04-08,80.19000244140625
2026-04-09,80.27999877929688
2026-04-10,79.95999908447266
2026-04-13,80.26000213623047
2026-04-14,80.5
2026-04-15,80.45999908447266
2026-04-16,80.3499984741211
2026-04-17,80.6500015258789
2026-04-20,80.58000183105469
2026-04-21,80.37000274658203
2026-04-22,80.5
2026-04-23,80.37000274658203
2026-04-24,80.4800033569336
