Date,KRE
2019-01-02,38.87868881225586
2019-01-03,38.72340393066406
2019-01-04,39.95751953125
2019-01-07,40.219051361083984
2019-01-08,40.56232452392578
2019-01-09,40.864715576171875
2019-01-10,40.72578048706055
2019-01-11,40.8483772277832
2019-01-14,41.044517517089844
2019-01-15,41.32240676879883
2019-01-16,42.3930549621582
2019-01-17,42.66276931762695
2019-01-18,43.52092742919922
2019-01-22,43.234867095947266
2019-01-23,43.16130447387695
2019-01-24,43.18583297729492
2019-01-25,43.70073699951172
2019-01-28,44.068511962890625
2019-01-29,43.96227264404297
2019-01-30,43.774288177490234
2019-01-31,43.283905029296875
2019-02-01,43.65985870361328
2019-02-04,44.158416748046875
2019-02-05,43.970436096191406
2019-02-06,44.03582763671875
2019-02-07,44.68965530395508
2019-02-08,44.256492614746094
2019-02-11,44.71417999267578
2019-02-12,45.18002700805664
2019-02-13,45.294456481933594
2019-02-14,44.828590393066406
2019-02-15,45.801177978515625
2019-02-19,46.242515563964844
2019-02-20,46.75741195678711
2019-02-21,46.47135543823242
2019-02-22,46.610294342041016
2019-02-25,46.42231750488281
2019-02-26,45.89924621582031
2019-02-27,46.39780807495117
2019-02-28,46.267032623291016
2019-03-01,46.446834564208984
2019-03-04,46.226165771484375
2019-03-05,46.136268615722656
2019-03-06,45.00839614868164
2019-03-07,44.23197555541992
2019-03-08,44.321868896484375
2019-03-11,44.673309326171875
2019-03-12,44.575233459472656
2019-03-13,44.91849136352539
2019-03-14,45.03291702270508
2019-03-15,45.00746536254883
2019-03-18,45.66438674926758
2019-03-19,44.52298355102539
2019-03-20,43.00385284423828
2019-03-21,42.40439987182617
2019-03-22,40.565025329589844
2019-03-25,40.622493743896484
2019-03-26,41.61609649658203
2019-03-27,41.706417083740234
2019-03-28,42.2566032409668
2019-03-29,42.15805435180664
2019-04-01,43.381587982177734
2019-04-02,43.381587982177734
2019-04-03,43.480125427246094
2019-04-04,44.09600067138672
2019-04-05,44.29305648803711
2019-04-08,44.29305648803711
2019-04-09,43.51295471191406
2019-04-10,43.91532516479492
2019-04-11,44.10419845581055
2019-04-12,45.0320930480957
2019-04-15,44.28485107421875
2019-04-16,45.11420440673828
2019-04-17,45.130638122558594
2019-04-18,44.57225036621094
2019-04-22,44.20273208618164
2019-04-23,45.14704895019531
2019-04-24,45.14704895019531
2019-04-25,44.974613189697266
2019-04-26,45.4344596862793
2019-04-29,46.033912658691406
2019-04-30,45.820404052734375
2019-05-01,45.26202392578125
2019-05-02,45.84504318237305
2019-05-03,46.51016616821289
2019-05-06,46.43626403808594
2019-05-07,45.623329162597656
2019-05-08,45.130638122558594
2019-05-09,45.11420440673828
2019-05-10,45.237388610839844
2019-05-13,43.38978958129883
2019-05-14,44.01386642456055
2019-05-15,43.46369552612305
2019-05-16,43.93174743652344
2019-05-17,43.56223678588867
2019-05-20,43.78395080566406
2019-05-21,44.0877685546875
2019-05-22,43.595069885253906
2019-05-23,42.59326171875
2019-05-24,43.176292419433594
2019-05-28,42.59326171875
2019-05-29,42.847835540771484
2019-05-30,42.117000579833984
2019-05-31,41.23836898803711
2019-06-03,41.706417083740234
2019-06-04,43.18449783325195
2019-06-05,42.97920608520508
2019-06-06,42.86423873901367
2019-06-07,42.576839447021484
2019-06-10,42.93815231323242
2019-06-11,43.16807174682617
2019-06-12,42.921722412109375
2019-06-13,43.05311965942383
2019-06-14,43.16807174682617
2019-06-17,42.58504867553711
2019-06-18,43.30766677856445
2019-06-19,42.97920608520508
2019-06-20,43.10239028930664
2019-06-21,43.0296630859375
2019-06-24,42.632999420166016
2019-06-25,42.65778732299805
2019-06-26,42.84785842895508
2019-06-27,43.49243927001953
2019-06-28,44.153541564941406
2019-07-01,44.434513092041016
2019-07-02,43.78166961669922
2019-07-03,44.170074462890625
2019-07-05,44.69068908691406
2019-07-08,44.112220764160156
2019-07-09,44.32706832885742
2019-07-10,43.82297897338867
2019-07-11,44.170074462890625
2019-07-12,44.59978103637695
2019-07-15,43.732086181640625
2019-07-16,43.690757751464844
2019-07-17,43.36021041870117
2019-07-18,43.715553283691406
2019-07-19,44.062644958496094
2019-07-22,43.78166961669922
2019-07-23,44.24444580078125
2019-07-24,45.29395294189453
2019-07-25,44.988189697265625
2019-07-26,45.74846649169922
2019-07-29,45.26089096069336
2019-07-30,45.78976821899414
2019-07-31,45.5666618347168
2019-08-01,43.665977478027344
2019-08-02,43.28584671020508
2019-08-05,41.87273025512695
2019-08-06,42.228065490722656
2019-08-07,41.66613006591797
2019-08-08,42.451194763183594
2019-08-09,42.294189453125
2019-08-12,41.44300842285156
2019-08-13,41.84794235229492
2019-08-14,40.50919723510742
2019-08-15,40.186912536621094
2019-08-16,41.310787200927734
2019-08-19,41.73223876953125
2019-08-20,41.1455192565918
2019-08-21,41.376895904541016
2019-08-22,41.533905029296875
2019-08-23,40.195167541503906
2019-08-26,40.56704330444336
2019-08-27,39.85635757446289
2019-08-28,40.45962142944336
2019-08-29,41.31905746459961
2019-08-30,41.4182243347168
2019-09-03,40.451358795166016
2019-09-04,40.765380859375
2019-09-05,41.95537185668945
2019-09-06,41.71572494506836
2019-09-09,43.186676025390625
2019-09-10,43.99652862548828
2019-09-11,44.525413513183594
2019-09-12,44.62458801269531
2019-09-13,45.11214065551758
2019-09-16,45.12039566040039
2019-09-17,44.55846405029297
2019-09-18,44.880760192871094
2019-09-19,44.484100341796875
2019-09-20,44.31780242919922
2019-09-23,44.35105895996094
2019-09-24,43.702510833740234
2019-09-25,44.475772857666016
2019-09-26,43.94363784790039
2019-09-27,44.15150451660156
2019-09-30,43.89375305175781
2019-10-01,42.9042854309082
2019-10-02,42.37213134765625
2019-10-03,42.4137077331543
2019-10-04,42.92090606689453
2019-10-07,42.82944869995117
2019-10-08,41.72359085083008
2019-10-09,42.01459884643555
2019-10-10,42.53843688964844
2019-10-11,43.361595153808594
2019-10-14,43.33664321899414
2019-10-15,44.08498764038086
2019-10-16,43.9270133972168
2019-10-17,43.73576736450195
2019-10-18,44.25127410888672
2019-10-21,44.84164047241211
2019-10-22,45.02455520629883
2019-10-23,45.140968322753906
2019-10-24,44.76679229736328
2019-10-25,45.23242950439453
2019-10-28,45.68974685668945
2019-10-29,45.955806732177734
2019-10-30,45.506813049316406
2019-10-31,44.81668472290039
2019-11-01,45.76457977294922
2019-11-04,46.65425109863281
2019-11-05,47.12818908691406
2019-11-06,46.87042236328125
2019-11-07,47.19470977783203
2019-11-08,47.227970123291016
2019-11-11,46.97852325439453
2019-11-12,47.06999588012695
2019-11-13,46.52953338623047
2019-11-14,46.463008880615234
2019-11-15,46.5461540222168
2019-11-18,46.296722412109375
2019-11-19,46.44638442993164
2019-11-20,46.23019790649414
2019-11-21,46.1719970703125
2019-11-22,46.50458526611328
2019-11-25,46.986846923828125
2019-11-26,46.695823669433594
2019-11-27,47.01178741455078
2019-11-29,46.7457160949707
2019-12-02,46.47132110595703
2019-12-03,45.831092834472656
2019-12-04,46.45468521118164
2019-12-05,46.64593505859375
2019-12-06,47.311119079589844
2019-12-09,47.32774353027344
2019-12-10,47.44416046142578
2019-12-11,47.319435119628906
2019-12-12,48.79945373535156
2019-12-13,48.39204406738281
2019-12-16,48.73295593261719
2019-12-17,49.24014663696289
2019-12-18,49.03227615356445
2019-12-19,48.95745086669922
2019-12-20,49.020198822021484
2019-12-23,48.72736740112305
2019-12-24,48.84450149536133
2019-12-26,48.94490051269531
2019-12-27,48.618595123291016
2019-12-30,48.593502044677734
2019-12-31,48.73573303222656
2020-01-02,48.86960220336914
2020-01-03,48.342491149902344
2020-01-06,47.924163818359375
2020-01-07,47.622962951660156
2020-01-08,47.974369049072266
2020-01-09,48.141700744628906
2020-01-10,47.63133239746094
2020-01-13,47.87396240234375
2020-01-14,47.95763397216797
2020-01-15,47.35523223876953
2020-01-16,48.032928466796875
2020-01-17,48.141700744628906
2020-01-21,47.52256393432617
2020-01-22,47.56439208984375
2020-01-23,47.63970184326172
2020-01-24,46.78630447387695
2020-01-27,45.97474670410156
2020-01-28,46.3763427734375
2020-01-29,45.80740737915039
2020-01-30,46.26756286621094
2020-01-31,45.3388671875
2020-02-03,45.9412727355957
2020-02-04,46.58551025390625
2020-02-05,47.63133239746094
2020-02-06,47.1377067565918
2020-02-07,46.67753219604492
2020-02-10,46.63569641113281
2020-02-11,46.99545669555664
2020-02-12,47.12097930908203
2020-02-13,47.346866607666016
2020-02-14,47.03730392456055
2020-02-18,46.40143585205078
2020-02-19,46.78630447387695
2020-02-20,47.20463180541992
2020-02-21,46.56040573120117
2020-02-24,45.1213493347168
2020-02-25,43.381072998046875
2020-02-26,42.66154861450195
2020-02-27,40.9379997253418
2020-02-28,39.74994659423828
2020-03-02,41.54042053222656
2020-03-03,39.81687927246094
2020-03-04,40.528045654296875
2020-03-05,38.40292739868164
2020-03-06,36.721221923828125
2020-03-09,31.031896591186523
2020-03-10,33.223976135253906
2020-03-11,30.914777755737305
2020-03-12,28.321104049682617
2020-03-13,31.492069244384766
2020-03-16,27.191608428955078
2020-03-17,29.24980354309082
2020-03-18,26.21271324157715
2020-03-19,27.609943389892578
2020-03-20,25.7860107421875
2020-03-23,23.795574188232422
2020-03-24,26.55325698852539
2020-03-25,26.84086799621582
2020-03-26,29.14176368713379
2020-03-27,28.194332122802734
2020-03-30,28.15203094482422
2020-03-31,27.568359375
2020-04-01,25.783475875854492
2020-04-02,26.265647888183594
2020-04-03,24.971399307250977
2020-04-06,27.052349090576172
2020-04-07,27.82213020324707
2020-04-08,29.302478790283203
2020-04-09,31.620290756225586
2020-04-13,29.835407257080078
2020-04-14,29.353227615356445
2020-04-15,27.373798370361328
2020-04-16,26.367156982421875
2020-04-17,28.752635955810547
2020-04-20,28.684961318969727
2020-04-21,27.889806747436523
2020-04-22,27.77137565612793
2020-04-23,28.287382125854492
2020-04-24,29.07408332824707
2020-04-27,31.00276756286621
2020-04-28,31.789470672607422
2020-04-29,33.608192443847656
2020-04-30,32.25472640991211
2020-05-01,30.732074737548828
2020-05-04,30.427549362182617
2020-05-05,29.843873977661133
2020-05-06,29.05716323852539
2020-05-07,29.4462833404541
2020-05-08,30.909717559814453
2020-05-11,29.59009552001953
2020-05-12,28.075897216796875
2020-05-13,26.56171989440918
2020-05-14,27.407630920410156
2020-05-15,27.10310173034668
2020-05-18,29.810029983520508
2020-05-19,28.515775680541992
2020-05-20,29.970748901367188
2020-05-21,29.860780715942383
2020-05-22,29.54779624938965
2020-05-26,32.03478240966797
2020-05-27,34.35259246826172
2020-05-28,33.109092712402344
2020-05-29,32.29701232910156
2020-06-01,32.610008239746094
2020-06-02,32.50849533081055
2020-06-03,34.38643264770508
2020-06-04,35.6214599609375
2020-06-05,37.68549728393555
2020-06-08,38.928985595703125
2020-06-09,37.9815673828125
2020-06-10,35.4522819519043
2020-06-11,32.153202056884766
2020-06-12,33.32904052734375
2020-06-15,33.81120681762695
2020-06-16,35.02086639404297
2020-06-17,33.946556091308594
2020-06-18,34.098812103271484
2020-06-19,33.735076904296875
2020-06-22,33.68727493286133
2020-06-23,33.32880783081055
2020-06-24,31.57915687561035
2020-06-25,32.62895202636719
2020-06-26,30.64031410217285
2020-06-29,31.954687118530273
2020-06-30,32.7655143737793
2020-07-01,31.399925231933594
2020-07-02,31.246288299560547
2020-07-06,31.57915687561035
2020-07-07,30.478164672851562
2020-07-08,30.435470581054688
2020-07-09,29.18084716796875
2020-07-10,30.623249053955078
2020-07-13,31.05851936340332
2020-07-14,30.409873962402344
2020-07-15,32.21074295043945
2020-07-16,32.125389099121094
2020-07-17,31.3145751953125
2020-07-20,30.751264572143555
2020-07-21,32.51799011230469
2020-07-22,32.20220947265625
2020-07-23,33.030086517333984
2020-07-24,32.83378601074219
2020-07-27,32.0400390625
2020-07-28,31.869346618652344
2020-07-29,32.9703483581543
2020-07-30,32.38143539428711
2020-07-31,32.07418441772461
2020-08-03,31.980302810668945
2020-08-04,31.809598922729492
2020-08-05,32.60334396362305
2020-08-06,32.40704345703125
2020-08-07,33.84090805053711
2020-08-10,34.47248077392578
2020-08-11,35.1467399597168
2020-08-12,34.91630554199219
2020-08-13,34.2249755859375
2020-08-14,34.677330017089844
2020-08-17,34.05427551269531
2020-08-18,33.02156066894531
2020-08-19,33.22638702392578
2020-08-20,32.49238204956055
2020-08-21,32.244873046875
2020-08-24,33.610469818115234
2020-08-25,33.72141647338867
2020-08-26,32.927669525146484
2020-08-27,33.59339141845703
2020-08-28,33.567787170410156
2020-08-31,32.98741912841797
2020-09-01,33.02156066894531
2020-09-02,33.26906967163086
2020-09-03,33.294677734375
2020-09-04,33.994529724121094
2020-09-08,32.62041091918945
2020-09-09,32.41556930541992
2020-09-10,31.818130493164062
2020-09-11,31.988828659057617
2020-09-14,32.782569885253906
2020-09-15,32.16805648803711
2020-09-16,32.50946044921875
2020-09-17,32.33021926879883
2020-09-18,32.09125518798828
2020-09-21,30.58073616027832
2020-09-22,29.839702606201172
2020-09-23,29.210674285888672
2020-09-24,29.305465698242188
2020-09-25,29.770769119262695
2020-09-28,30.83062171936035
2020-09-29,30.408405303955078
2020-09-30,30.744457244873047
2020-10-01,30.951244354248047
2020-10-02,31.830154418945312
2020-10-05,33.157142639160156
2020-10-06,33.0968132019043
2020-10-07,34.036041259765625
2020-10-08,34.5616569519043
2020-10-09,34.17390823364258
2020-10-12,34.63920593261719
2020-10-13,33.570735931396484
2020-10-14,33.07097244262695
2020-10-15,33.8723258972168
2020-10-16,33.9584846496582
2020-10-19,33.73444366455078
2020-10-20,34.50996017456055
2020-10-21,34.63920593261719
2020-10-22,36.285011291503906
2020-10-23,36.698604583740234
2020-10-26,35.9661865234375
2020-10-27,34.725372314453125
2020-10-28,34.036041259765625
2020-10-29,34.93218231201172
2020-10-30,35.45779800415039
2020-11-02,36.44872283935547
2020-11-03,37.45688247680664
2020-11-04,34.78569793701172
2020-11-05,36.46595001220703
2020-11-06,35.63875198364258
2020-11-09,41.13621139526367
2020-11-10,41.635990142822266
2020-11-11,40.37794876098633
2020-11-12,39.47319030761719
2020-11-13,40.64506912231445
2020-11-16,42.35979461669922
2020-11-17,42.19607162475586
2020-11-18,41.463653564453125
2020-11-19,41.532588958740234
2020-11-20,41.075889587402344
2020-11-23,41.8255615234375
2020-11-24,43.884952545166016
2020-11-25,43.212852478027344
2020-11-27,42.592445373535156
2020-11-30,41.01559066772461
2020-12-01,42.06682586669922
2020-12-02,42.80786895751953
2020-12-03,43.0405158996582
2020-12-04,43.86771774291992
2020-12-07,43.80739212036133
2020-12-08,43.7901611328125
2020-12-09,43.96249771118164
2020-12-10,44.13483428955078
2020-12-11,43.72124099731445
2020-12-14,43.43688201904297
2020-12-15,44.39333724975586
2020-12-16,44.42781066894531
2020-12-17,44.238224029541016
2020-12-18,43.58335876464844
2020-12-21,43.81351089477539
2020-12-22,43.474815368652344
2020-12-23,44.907752990722656
2020-12-24,44.68196105957031
2020-12-28,44.96855163574219
2020-12-29,44.27378845214844
2020-12-30,44.83828353881836
2020-12-31,45.11619186401367
2021-01-04,44.907752990722656
2021-01-05,45.506988525390625
2021-01-06,49.058963775634766
