Date,USO
2022-01-03,54.83000183105469
2022-01-04,55.59000015258789
2022-01-05,55.43000030517578
2022-01-06,56.88999938964844
2022-01-07,56.66999816894531
2022-01-10,56.15999984741211
2022-01-11,58.15999984741211
2022-01-12,58.90999984741211
2022-01-13,58.27000045776367
2022-01-14,59.970001220703125
2022-01-18,60.970001220703125
2022-01-19,61.04999923706055
2022-01-20,60.65999984741211
2022-01-21,60.779998779296875
2022-01-24,60.11000061035156
2022-01-25,60.970001220703125
2022-01-26,61.68000030517578
2022-01-27,61.86000061035156
2022-01-28,61.970001220703125
2022-01-31,62.47999954223633
2022-02-01,62.529998779296875
2022-02-02,62.52000045776367
2022-02-03,63.5099983215332
2022-02-04,64.91000366210938
2022-02-07,64.68000030517578
2022-02-08,63.619998931884766
2022-02-09,64.16999816894531
2022-02-10,63.959999084472656
2022-02-11,65.73999786376953
2022-02-14,66.36000061035156
2022-02-15,64.27999877929688
2022-02-16,63.540000915527344
2022-02-17,64.16999816894531
2022-02-18,64.73999786376953
2022-02-22,65.54000091552734
2022-02-23,66.23999786376953
2022-02-24,66.33999633789062
2022-02-25,65.80000305175781
2022-02-28,67.4800033569336
2022-03-01,71.81999969482422
2022-03-02,75.41999816894531
2022-03-03,74.52999877929688
2022-03-04,79.45999908447266
2022-03-07,82.37000274658203
2022-03-08,85.43000030517578
2022-03-09,75.47000122070312
2022-03-10,74.05999755859375
2022-03-11,76.4000015258789
2022-03-14,72.83999633789062
2022-03-15,68.62999725341797
2022-03-16,68.27999877929688
2022-03-17,73.68000030517578
2022-03-18,74.63999938964844
2022-03-21,79.54000091552734
2022-03-22,78.55999755859375
2022-03-23,81.94999694824219
2022-03-24,79.75
2022-03-25,80.73999786376953
2022-03-28,74.52999877929688
2022-03-29,76.1500015258789
2022-03-30,77.91000366210938
2022-03-31,74.12000274658203
2022-04-01,74.16999816894531
2022-04-04,76.86000061035156
2022-04-05,74.80000305175781
2022-04-06,73.05000305175781
2022-04-07,73.11000061035156
2022-04-08,74.11000061035156
2022-04-11,72.30000305175781
2022-04-12,75.9800033569336
2022-04-13,78.41999816894531
2022-04-14,79.56999969482422
2022-04-18,80.41000366210938
2022-04-19,76.86000061035156
2022-04-20,77.23999786376953
2022-04-21,78.12000274658203
2022-04-22,76.30999755859375
2022-04-25,74.6500015258789
2022-04-26,76.45999908447266
2022-04-27,76.37000274658203
2022-04-28,78.08000183105469
2022-04-29,77.16000366210938
2022-05-02,78.37999725341797
2022-05-03,76.69000244140625
2022-05-04,80.22000122070312
2022-05-05,80.4800033569336
2022-05-06,82.12999725341797
2022-05-09,76.56999969482422
2022-05-10,74.52999877929688
2022-05-11,78.18000030517578
2022-05-12,79.2300033569336
2022-05-13,81.27999877929688
2022-05-16,83.11000061035156
2022-05-17,81.11000061035156
2022-05-18,79.29000091552734
2022-05-19,80.58000183105469
2022-05-20,81.6500015258789
2022-05-23,81.97000122070312
2022-05-24,82.0
2022-05-25,82.4800033569336
2022-05-26,84.58999633789062
2022-05-27,85.45999908447266
2022-05-31,85.47000122070312
2022-06-01,85.54000091552734
2022-06-02,87.25
2022-06-03,89.47000122070312
2022-06-06,88.38999938964844
2022-06-07,90.04000091552734
2022-06-08,91.98999786376953
2022-06-09,91.08000183105469
2022-06-10,90.12999725341797
2022-06-13,90.36000061035156
2022-06-14,88.44999694824219
2022-06-15,86.93000030517578
2022-06-16,87.66000366210938
2022-06-17,83.33999633789062
2022-06-21,84.05000305175781
2022-06-22,80.87999725341797
2022-06-23,78.9800033569336
2022-06-24,81.2699966430664
2022-06-27,82.93000030517578
2022-06-28,84.72000122070312
2022-06-29,82.94999694824219
