Date,IEF
2019-01-02,88.01795959472656
2019-01-03,88.71761322021484
2019-01-04,88.00109100341797
2019-01-07,87.75664520263672
2019-01-08,87.5374984741211
2019-01-09,87.58808135986328
2019-01-10,87.54595184326172
2019-01-11,87.80721282958984
2019-01-14,87.75664520263672
2019-01-15,87.67232513427734
2019-01-16,87.62179565429688
2019-01-17,87.46163177490234
2019-01-18,87.18350219726562
2019-01-22,87.48689270019531
2019-01-23,87.44481658935547
2019-01-24,87.72296142578125
2019-01-25,87.52064514160156
2019-01-28,87.54595184326172
2019-01-29,87.798828125
2019-01-30,88.00109100341797
2019-01-31,88.40570068359375
2019-02-01,87.93265533447266
2019-02-04,87.73841094970703
2019-02-05,87.89044952392578
2019-02-06,87.95801544189453
2019-02-07,88.24523162841797
2019-02-08,88.36347961425781
2019-02-11,88.22834777832031
2019-02-12,88.11003875732422
2019-02-13,87.89044952392578
2019-02-14,88.30435180664062
2019-02-15,88.2198715209961
2019-02-19,88.37195587158203
2019-02-20,88.35503387451172
2019-02-21,88.0931625366211
2019-02-22,88.35503387451172
2019-02-25,88.2198715209961
2019-02-26,88.48172760009766
2019-02-27,88.16920471191406
2019-02-28,87.94112396240234
2019-03-01,87.65252685546875
2019-03-04,87.92335510253906
2019-03-05,87.9740982055664
2019-03-06,88.21959686279297
2019-03-07,88.51573944091797
2019-03-08,88.6427230834961
2019-03-11,88.57505798339844
2019-03-12,88.8204345703125
2019-03-13,88.78661346435547
2019-03-14,88.65967559814453
2019-03-15,88.9389419555664
2019-03-18,88.8204345703125
2019-03-19,88.76118469238281
2019-03-20,89.37898254394531
2019-03-21,89.33668518066406
2019-03-22,89.996826171875
2019-03-25,90.2253189086914
2019-03-26,90.14917755126953
2019-03-27,90.41153717041016
2019-03-28,90.41995239257812
2019-03-29,90.27611541748047
2019-04-01,89.65534210205078
2019-04-02,89.80796813964844
2019-04-03,89.52813720703125
2019-04-04,89.62140655517578
2019-04-05,89.66384887695312
2019-04-08,89.51964569091797
2019-04-09,89.68080139160156
2019-04-10,89.89279174804688
2019-04-11,89.68925476074219
2019-04-12,89.27372741699219
2019-04-15,89.39241790771484
2019-04-16,89.08712768554688
2019-04-17,89.10409545898438
2019-04-18,89.31610107421875
2019-04-22,89.18889617919922
2019-04-23,89.35002136230469
2019-04-24,89.68925476074219
2019-04-25,89.5789794921875
2019-04-26,89.81646728515625
2019-04-29,89.6298828125
2019-04-30,89.80796813964844
2019-05-01,89.76717376708984
2019-05-02,89.51225280761719
2019-05-03,89.6312026977539
2019-05-06,89.86065673828125
2019-05-07,90.16658782958984
2019-05-08,89.99665069580078
2019-05-09,90.23458099365234
2019-05-10,90.17507934570312
2019-05-13,90.62545776367188
2019-05-14,90.54045867919922
2019-05-15,90.82939910888672
2019-05-16,90.65093994140625
2019-05-17,90.69340515136719
2019-05-20,90.54045867919922
2019-05-21,90.43846893310547
2019-05-22,90.71044921875
2019-05-23,91.26275634765625
2019-05-24,91.23725128173828
2019-05-28,91.63661193847656
2019-05-29,91.60264587402344
2019-05-30,91.93405151367188
2019-05-31,92.54586791992188
2019-06-03,92.99114990234375
2019-06-04,92.65059661865234
2019-06-05,92.65059661865234
2019-06-06,92.63358306884766
2019-06-07,92.9996566772461
2019-06-10,92.53990936279297
2019-06-11,92.53990936279297
2019-06-12,92.77828216552734
2019-06-13,93.00816345214844
2019-06-14,93.07630157470703
2019-06-17,93.05925750732422
