Date,VEA
2019-01-02,29.78288459777832
2019-01-03,29.541725158691406
2019-01-04,30.450092315673828
2019-01-07,30.54655647277832
2019-01-08,30.763593673706055
2019-01-09,31.141401290893555
2019-01-10,31.27002716064453
2019-01-11,31.07709312438965
2019-01-14,30.916324615478516
2019-01-15,31.10924530029297
2019-01-16,31.20572280883789
2019-01-17,31.31021499633789
2019-01-18,31.64784049987793
2019-01-22,31.157480239868164
2019-01-23,31.31825065612793
2019-01-24,31.358461380004883
2019-01-25,31.752338409423828
2019-01-28,31.59960174560547
2019-01-29,31.68802261352539
2019-01-30,32.041725158691406
2019-01-31,32.04977035522461
2019-02-01,32.0336799621582
2019-02-04,32.1462287902832
2019-02-05,32.403465270996094
2019-02-06,32.1944694519043
2019-02-07,31.78449058532715
2019-02-08,31.671953201293945
2019-02-11,31.607648849487305
2019-02-12,32.0256462097168
2019-02-13,32.0336799621582
2019-02-14,32.0336799621582
2019-02-15,32.467777252197266
2019-02-19,32.6285400390625
2019-02-20,32.75715637207031
2019-02-21,32.6767692565918
2019-02-22,32.797340393066406
2019-02-25,32.901859283447266
2019-02-26,33.038509368896484
2019-02-27,32.93400192260742
2019-02-28,32.797340393066406
2019-03-01,32.998321533203125
2019-03-04,32.86970520019531
2019-03-05,32.89380645751953
2019-03-06,32.797340393066406
2019-03-07,32.37934875488281
2019-03-08,32.33914566040039
2019-03-11,32.63658905029297
2019-03-12,32.65266036987305
2019-03-13,32.89380645751953
2019-03-14,32.861656188964844
2019-03-15,33.19123458862305
2019-03-18,33.303768157958984
2019-03-19,33.392208099365234
2019-03-20,33.36004638671875
2019-03-21,33.392208099365234
2019-03-22,32.749122619628906
2019-03-25,32.749122619628906
2019-03-26,32.95008087158203
2019-03-27,32.901859283447266
2019-03-28,32.88166809082031
2019-03-29,32.994686126708984
2019-04-01,33.42256546020508
2019-04-02,33.446773529052734
2019-04-03,33.70512771606445
2019-04-04,33.640533447265625
2019-04-05,33.713199615478516
2019-04-08,33.737422943115234
2019-04-09,33.53559875488281
2019-04-10,33.67283248901367
2019-04-11,33.60826110839844
2019-04-12,33.8585205078125
2019-04-15,33.874656677246094
2019-04-16,33.93116760253906
2019-04-17,33.9876823425293
2019-04-18,33.923091888427734
2019-04-22,33.890804290771484
2019-04-23,33.97153854370117
2019-04-24,33.67283248901367
2019-04-25,33.648616790771484
2019-04-26,33.77778625488281
2019-04-29,33.906951904296875
2019-04-30,33.93116760253906
2019-05-01,33.70512771606445
2019-05-02,33.640533447265625
2019-05-03,33.97153854370117
2019-05-06,33.648616790771484
2019-05-07,33.0834846496582
2019-05-08,33.131935119628906
2019-05-09,32.88975143432617
2019-05-10,33.10771942138672
2019-05-13,32.36499786376953
2019-05-14,32.67177200317383
2019-05-15,32.81708908081055
2019-05-16,33.01890563964844
2019-05-17,32.83323287963867
2019-05-20,32.687923431396484
2019-05-21,32.91395950317383
2019-05-22,32.7847900390625
2019-05-23,32.453792572021484
2019-05-24,32.79286575317383
2019-05-28,32.510311126708984
2019-05-29,32.29232406616211
2019-05-30,32.41343307495117
2019-05-31,32.16316223144531
2019-06-03,32.29232406616211
2019-06-04,32.712135314941406
2019-06-05,32.69598388671875
2019-06-06,32.83323287963867
2019-06-07,33.220741271972656
2019-06-10,33.309547424316406
2019-06-11,33.47100067138672
2019-06-12,33.20459747314453
2019-06-13,33.220741271972656
2019-06-14,32.994686126708984
2019-06-17,33.01918029785156
2019-06-18,33.47629928588867
2019-06-19,33.6640510559082
2019-06-20,33.99057388305664
2019-06-21,33.86812973022461
2019-06-24,33.91710662841797
2019-06-25,33.737525939941406
2019-06-26,33.77833557128906
2019-06-27,33.85996627807617
2019-06-28,34.04772186279297
2019-07-01,34.20280456542969
2019-07-02,34.308937072753906
2019-07-03,34.488502502441406
2019-07-05,34.25178527832031
2019-07-08,34.04772186279297
2019-07-09,33.884456634521484
2019-07-10,34.03139114379883
2019-07-11,34.03955841064453
2019-07-12,34.08036804199219
2019-07-15,34.1130256652832
2019-07-16,33.957916259765625
2019-07-17,33.89262008666992
2019-07-18,33.99057388305664
2019-07-19,33.94160079956055
2019-07-22,33.97425079345703
2019-07-23,34.1701545715332
2019-07-24,34.17832565307617
2019-07-25,33.83548355102539
2019-07-26,33.933433532714844
2019-07-29,33.925270080566406
2019-07-30,33.566097259521484
2019-07-31,33.35385513305664
2019-08-01,33.22325134277344
2019-08-02,32.9620475769043
2019-08-05,32.12125778198242
2019-08-06,32.34164810180664
2019-08-07,32.472259521484375
2019-08-08,32.806941986083984
2019-08-09,32.570220947265625
2019-08-12,32.29267883300781
2019-08-13,32.61103820800781
2019-08-14,31.72942543029785
2019-08-15,31.79473876953125
2019-08-16,32.17023468017578
2019-08-19,32.366146087646484
2019-08-20,32.27634811401367
2019-08-21,32.545738220214844
2019-08-22,32.43144226074219
2019-08-23,32.03145980834961
2019-08-26,32.30900192260742
2019-08-27,32.300838470458984
2019-08-28,32.30900192260742
2019-08-29,32.56205368041992
2019-08-30,32.725318908691406
2019-09-03,32.59470748901367
2019-09-04,33.051841735839844
2019-09-05,33.32121276855469
2019-09-06,33.394683837890625
2019-09-09,33.45997619628906
2019-09-10,33.55794143676758
2019-09-11,33.76201248168945
2019-09-12,33.94160079956055
2019-09-13,34.096683502197266
2019-09-16,33.85179901123047
2019-09-17,33.982425689697266
2019-09-18,33.89262008666992
2019-09-19,34.03139114379883
2019-09-20,33.957916259765625
2019-09-23,33.90895080566406
2019-09-24,33.765140533447266
2019-09-25,33.707618713378906
2019-09-26,33.78157424926758
2019-09-27,33.633663177490234
2019-09-30,33.756927490234375
2019-10-01,33.45288848876953
2019-10-02,32.787269592285156
2019-10-03,33.01736068725586
2019-10-04,33.27210235595703
2019-10-07,33.231014251708984
2019-10-08,32.91874313354492
2019-10-09,33.181697845458984
2019-10-10,33.39535140991211
2019-10-11,33.96235275268555
2019-10-14,33.8390998840332
2019-10-15,34.21709060668945
2019-10-16,34.241764068603516
2019-10-17,34.33213424682617
2019-10-18,34.291046142578125
2019-10-21,34.504703521728516
2019-10-22,34.42253112792969
2019-10-23,34.58687210083008
2019-10-24,34.64439392089844
2019-10-25,34.669044494628906
2019-10-28,34.82517623901367
2019-10-29,34.784095764160156
2019-10-30,34.92379379272461
2019-10-31,34.84162139892578
2019-11-01,35.15388107299805
2019-11-04,35.34288024902344
2019-11-05,35.33466339111328
2019-11-06,35.301788330078125
2019-11-07,35.457916259765625
2019-11-08,35.38396072387695
2019-11-11,35.35108947753906
2019-11-12,35.35929870605469
2019-11-13,35.244258880615234
2019-11-14,35.21961975097656
2019-11-15,35.433265686035156
2019-11-18,35.47434997558594
2019-11-19,35.40861129760742
2019-11-20,35.19496536254883
2019-11-21,35.145660400390625
2019-11-22,35.18673324584961
2019-11-25,35.457916259765625
2019-11-26,35.482566833496094
2019-11-27,35.58118438720703
2019-11-29,35.31000900268555
2019-12-02,35.15388107299805
2019-12-03,35.02239227294922
2019-12-04,35.32644271850586
2019-12-05,35.29356002807617
2019-12-06,35.59761428833008
2019-12-09,35.40861129760742
2019-12-10,35.44148254394531
2019-12-11,35.638702392578125
2019-12-12,35.918087005615234
2019-12-13,36.12352752685547
2019-12-16,36.48509979248047
2019-12-17,36.353607177734375
2019-12-18,36.26321792602539
2019-12-19,36.29609680175781
2019-12-20,36.353607177734375
2019-12-23,36.403411865234375
2019-12-24,36.370216369628906
2019-12-26,36.53620147705078
2019-12-27,36.635807037353516
2019-12-30,36.370216369628906
2019-12-31,36.569400787353516
2020-01-02,36.868202209472656
2020-01-03,36.420005798339844
2020-01-06,36.54451370239258
2020-01-07,36.486412048339844
2020-01-08,36.53620147705078
2020-01-09,36.685611724853516
2020-01-10,36.56109619140625
2020-01-13,36.776912689208984
2020-01-14,36.80181121826172
2020-01-15,36.776912689208984
2020-01-16,36.976104736328125
2020-01-17,37.06740951538086
2020-01-21,36.76859664916992
2020-01-22,36.85989761352539
2020-01-23,36.76859664916992
2020-01-24,36.627506256103516
2020-01-27,35.855613708496094
2020-01-28,36.16271209716797
2020-01-29,36.1710205078125
2020-01-30,36.088016510009766
2020-01-31,35.473819732666016
2020-02-03,35.59832000732422
2020-02-04,36.1710205078125
2020-02-05,36.51959991455078
2020-02-06,36.64411163330078
2020-02-07,36.28721618652344
2020-02-10,36.370216369628906
2020-02-11,36.61921310424805
2020-02-12,36.76859664916992
2020-02-13,36.50300979614258
2020-02-14,36.47811508178711
2020-02-18,36.22911071777344
2020-02-19,36.378517150878906
2020-02-20,36.112911224365234
2020-02-21,35.946922302246094
2020-02-24,34.54422378540039
2020-02-25,33.95494079589844
2020-02-26,33.979835510253906
2020-02-27,32.94234848022461
2020-02-28,32.75975036621094
2020-03-02,33.191341400146484
2020-03-03,32.92573928833008
2020-03-04,33.83042907714844
2020-03-05,32.94234848022461
2020-03-06,32.460941314697266
2020-03-09,29.821577072143555
2020-03-10,30.93376922607422
2020-03-11,29.323591232299805
2020-03-12,26.045120239257812
2020-03-13,27.688501358032227
2020-03-16,24.692232131958008
2020-03-17,25.812726974487305
2020-03-18,24.277236938476562
2020-03-19,24.634138107299805
2020-03-20,24.4100341796875
2020-03-23,23.994022369384766
2020-03-24,26.12830352783203
2020-03-25,27.070388793945312
2020-03-26,28.220897674560547
2020-03-27,27.353853225708008
2020-03-30,27.91242790222168
2020-03-31,27.795711517333984
2020-04-01,26.56182861328125
2020-04-02,27.070388793945312
2020-04-03,26.536821365356445
2020-04-06,27.962453842163086
2020-04-07,28.120859146118164
2020-04-08,28.387638092041016
2020-04-09,28.996246337890625
2020-04-13,28.76280403137207
2020-04-14,29.279701232910156
2020-04-15,28.329286575317383
2020-04-16,28.362632751464844
2020-04-17,29.16298484802246
2020-04-20,28.73780632019043
2020-04-21,28.14586639404297
2020-04-22,28.671106338500977
2020-04-23,28.621078491210938
2020-04-24,28.929550170898438
2020-04-27,29.32972526550293
2020-04-28,29.563161849975586
2020-04-29,30.346853256225586
2020-04-30,29.746580123901367
2020-05-01,29.087953567504883
2020-05-04,29.112960815429688
2020-05-05,29.1879940032959
2020-05-06,29.012916564941406
2020-05-07,29.454788208007812
2020-05-08,29.929996490478516
2020-05-11,29.921659469604492
2020-05-12,29.52147674560547
2020-05-13,29.27136993408203
