Date,EFA
2019-01-02,47.46945571899414
2019-01-03,47.040557861328125
2019-01-04,48.48099136352539
2019-01-07,48.6671142578125
2019-01-08,48.98271942138672
2019-01-09,49.532989501953125
2019-01-10,49.72720718383789
2019-01-11,49.387325286865234
2019-01-14,49.16074752807617
2019-01-15,49.41969680786133
2019-01-16,49.55726623535156
2019-01-17,49.73529815673828
2019-01-18,50.237030029296875
2019-01-22,49.46015930175781
2019-01-23,49.686744689941406
2019-01-24,49.74340057373047
2019-01-25,50.30984878540039
2019-01-28,50.03471755981445
2019-01-29,50.14801025390625
2019-01-30,50.69828414916992
2019-01-31,50.72256088256836
2019-02-01,50.70637512207031
2019-02-04,50.89249801635742
2019-02-05,51.28902053833008
2019-02-06,51.030059814453125
2019-02-07,50.350318908691406
2019-02-08,50.18846130371094
2019-02-11,50.1399040222168
2019-02-12,50.72256088256836
2019-02-13,50.730648040771484
2019-02-14,50.74683380126953
2019-02-15,51.48323440551758
2019-02-19,51.67745590209961
2019-02-20,51.82311248779297
2019-02-21,51.71791076660156
2019-02-22,51.887847900390625
2019-02-25,52.041595458984375
2019-02-26,52.29246520996094
2019-02-27,52.08206558227539
2019-02-28,52.00922775268555
2019-03-01,52.29246520996094
2019-03-04,52.09824752807617
2019-03-05,52.14680862426758
2019-03-06,52.01732635498047
2019-03-07,51.353755950927734
2019-03-08,51.361846923828125
2019-03-11,51.80692672729492
2019-03-12,51.774559020996094
2019-03-13,52.21963882446289
2019-03-14,52.21154022216797
2019-03-15,52.77800369262695
2019-03-18,52.96412658691406
2019-03-19,53.069332122802734
2019-03-20,53.09360885620117
2019-03-21,53.06123352050781
2019-03-22,52.041595458984375
2019-03-25,52.11443328857422
2019-03-26,52.37339401245117
2019-03-27,52.397666931152344
2019-03-28,52.268192291259766
2019-03-29,52.48667907714844
2019-04-01,53.1583366394043
2019-04-02,53.17452621459961
2019-04-03,53.58723449707031
2019-04-04,53.473941802978516
2019-04-05,53.61152267456055
2019-04-08,53.643882751464844
2019-04-09,53.30400466918945
2019-04-10,53.50632095336914
2019-04-11,53.39302444458008
2019-04-12,53.76526641845703
2019-04-15,53.78954315185547
2019-04-16,53.82999038696289
2019-04-17,53.9837532043457
2019-04-18,53.951393127441406
2019-04-22,53.86237335205078
2019-04-23,53.96757507324219
2019-04-24,53.5953254699707
2019-04-25,53.554866790771484
2019-04-26,53.77335739135742
2019-04-29,53.991851806640625
2019-04-30,54.02422332763672
2019-05-01,53.71670913696289
2019-05-02,53.63579559326172
2019-05-03,54.2103385925293
2019-05-06,53.5953254699707
2019-05-07,52.656620025634766
2019-05-08,52.72135925292969
2019-05-09,52.47858428955078
2019-05-10,52.86701965332031
2019-05-13,51.636993408203125
2019-05-14,52.15489959716797
2019-05-15,52.34102249145508
2019-05-16,52.76181411743164
2019-05-17,52.41385269165039
2019-05-20,52.203460693359375
2019-05-21,52.551422119140625
2019-05-22,52.34102249145508
2019-05-23,51.86357498168945
2019-05-24,52.421939849853516
2019-05-28,51.91212844848633
2019-05-29,51.580345153808594
2019-05-30,51.774559020996094
2019-05-31,51.30520248413086
2019-06-03,51.6046257019043
2019-06-04,52.19535446166992
2019-06-05,52.17918014526367
2019-06-06,52.38957977294922
2019-06-07,53.053138732910156
2019-06-10,53.19880676269531
2019-06-11,53.46584701538086
2019-06-12,53.069332122802734
2019-06-13,53.117881774902344
2019-06-14,52.72945785522461
2019-06-17,52.767478942871094
2019-06-18,53.47016525268555
2019-06-19,53.80083084106445
2019-06-20,54.27205276489258
2019-06-21,54.04058074951172
2019-06-24,54.15632247924805
2019-06-25,53.83391189575195
2019-06-26,53.9000358581543
2019-06-27,54.032310485839844
2019-06-28,54.33818817138672
2019-07-01,54.59446334838867
2019-07-02,54.751529693603516
2019-07-03,55.12353515625
2019-07-05,54.70193099975586
2019-07-08,54.387779235839844
2019-07-09,54.15632247924805
2019-07-10,54.34645462036133
2019-07-11,54.329917907714844
2019-07-12,54.39605712890625
2019-07-15,54.44566345214844
2019-07-16,54.22244644165039
2019-07-17,54.14803695678711
2019-07-18,54.31338882446289
2019-07-19,54.15632247924805
2019-07-22,54.21418762207031
2019-07-23,54.55311965942383
2019-07-24,54.59446334838867
2019-07-25,54.04058074951172
2019-07-26,54.14803695678711
2019-07-29,54.26378631591797
2019-07-30,53.63550567626953
2019-07-31,53.280029296875
2019-08-01,53.1312141418457
2019-08-02,52.660011291503906
2019-08-05,51.3455810546875
2019-08-06,51.692779541015625
2019-08-07,51.89118957519531
2019-08-08,52.395469665527344
2019-08-09,52.0317268371582
2019-08-12,51.61838150024414
2019-08-13,52.10612487792969
2019-08-14,50.675968170166016
2019-08-15,50.84956359863281
2019-08-16,51.46131134033203
2019-08-19,51.775455474853516
2019-08-20,51.60185623168945
2019-08-21,51.96559524536133
2019-08-22,51.86638641357422
2019-08-23,51.22156524658203
2019-08-26,51.643184661865234
2019-08-27,51.60185623168945
2019-08-28,51.60185623168945
2019-08-29,52.04825973510742
2019-08-30,52.254940032958984
2019-09-03,52.15572738647461
2019-09-04,52.891483306884766
2019-09-05,53.17254638671875
2019-09-06,53.34616470336914
2019-09-09,53.50323486328125
2019-09-10,53.59415817260742
2019-09-11,53.89178466796875
2019-09-12,54.20591354370117
2019-09-13,54.51179122924805
2019-09-16,54.024044036865234
2019-09-17,54.20591354370117
2019-09-18,54.1397819519043
2019-09-19,54.321651458740234
2019-09-20,54.1976432800293
2019-09-23,54.0571174621582
2019-09-24,53.85043716430664
