Date,IBB
2019-01-02,95.55529022216797
2019-01-03,95.6925048828125
2019-01-04,100.50457000732422
2019-01-07,103.87598419189453
2019-01-08,104.62079620361328
2019-01-09,105.3558578491211
2019-01-10,106.72792053222656
2019-01-11,106.83572387695312
2019-01-14,105.03241729736328
2019-01-15,107.0611343383789
2019-01-16,106.48291015625
2019-01-17,107.60015869140625
2019-01-18,108.26663208007812
2019-01-22,106.55149841308594
2019-01-23,105.65967559814453
2019-01-24,105.64005279541016
2019-01-25,107.25717163085938
2019-01-28,105.12065124511719
2019-01-29,105.32646179199219
2019-01-30,106.0418701171875
2019-01-31,107.50215911865234
2019-02-01,108.0705795288086
2019-02-04,108.04119110107422
2019-02-05,107.8647689819336
2019-02-06,107.68838500976562
2019-02-07,104.99322509765625
2019-02-08,105.64984893798828
2019-02-11,106.17909240722656
2019-02-12,107.23754119873047
2019-02-13,107.56097412109375
2019-02-14,108.02159118652344
2019-02-15,109.80529022216797
2019-02-19,109.17805480957031
2019-02-20,108.88404846191406
2019-02-21,106.97295379638672
2019-02-22,108.5018081665039
2019-02-25,110.70694732666016
2019-02-26,110.25611877441406
2019-02-27,111.86338806152344
2019-02-28,110.49134063720703
2019-03-01,112.8140869140625
2019-03-04,111.73600769042969
2019-03-05,111.15778350830078
2019-03-06,107.67857360839844
2019-03-07,106.96314239501953
2019-03-08,106.4437026977539
2019-03-11,108.71741485595703
2019-03-12,109.6092529296875
2019-03-13,111.04016876220703
2019-03-14,110.73634338378906
2019-03-15,111.9222183227539
2019-03-18,111.64781188964844
2019-03-19,111.57917785644531
2019-03-20,111.04644012451172
2019-03-21,109.8592300415039
2019-03-22,106.13086700439453
2019-03-25,106.27804565429688
2019-03-26,108.25016021728516
2019-03-27,106.74900817871094
2019-03-28,107.39655303955078
2019-03-29,109.69246673583984
2019-04-01,109.80037689208984
2019-04-02,110.69319915771484
2019-04-03,111.35057067871094
2019-04-04,110.89923095703125
2019-04-05,112.76344299316406
2019-04-08,112.28266906738281
2019-04-09,110.47736358642578
2019-04-10,111.69400024414062
2019-04-11,109.79055786132812
2019-04-12,108.95657348632812
2019-04-15,108.4071273803711
2019-04-16,107.3278579711914
2019-04-17,103.15800476074219
2019-04-18,102.5693130493164
2019-04-22,102.61837005615234
2019-04-23,104.78670501708984
2019-04-24,103.64857482910156
2019-04-25,104.69837188720703
2019-04-26,105.37539672851562
2019-04-29,105.28709411621094
2019-04-30,104.41386413574219
2019-05-01,103.57007598876953
2019-05-02,103.98217010498047
2019-05-03,105.87577819824219
2019-05-06,106.77842712402344
2019-05-07,103.63874816894531
2019-05-08,103.59949493408203
2019-05-09,103.3542251586914
2019-05-10,103.02063751220703
2019-05-13,99.41000366210938
2019-05-14,100.50887298583984
2019-05-15,101.42134094238281
2019-05-16,102.47117614746094
2019-05-17,101.81383514404297
2019-05-20,100.39114379882812
2019-05-21,102.38286590576172
2019-05-22,102.70664978027344
2019-05-23,101.81383514404297
2019-05-24,102.23571014404297
2019-05-28,100.96021270751953
2019-05-29,99.83190155029297
2019-05-30,99.87116241455078
2019-05-31,98.09528350830078
2019-06-03,99.1548843383789
2019-06-04,101.0681381225586
2019-06-05,101.23492431640625
2019-06-06,100.24398803710938
2019-06-07,101.87269592285156
2019-06-10,101.26439666748047
2019-06-11,100.76398468017578
2019-06-12,101.38211822509766
2019-06-13,102.1375961303711
2019-06-14,101.18587493896484
2019-06-17,104.18070983886719
2019-06-18,105.61431121826172
2019-06-19,106.21326446533203
2019-06-20,106.65514373779297
2019-06-21,107.47010040283203
2019-06-24,105.1822738647461
2019-06-25,104.95641326904297
2019-06-26,103.90576934814453
2019-06-27,105.33935546875
2019-06-28,107.12643432617188
2019-07-01,107.74504852294922
2019-07-02,107.66649627685547
2019-07-03,108.92333221435547
2019-07-05,107.2442626953125
2019-07-08,105.79102325439453
2019-07-09,106.87113189697266
2019-07-10,106.5667495727539
2019-07-11,105.0447998046875
2019-07-12,103.6112060546875
2019-07-15,104.16106414794922
2019-07-16,103.56212615966797
2019-07-17,103.67012023925781
2019-07-18,104.52435302734375
2019-07-19,102.9827651977539
2019-07-22,103.21845245361328
2019-07-23,103.48353576660156
2019-07-24,103.76830291748047
2019-07-25,102.31507873535156
2019-07-26,103.41482543945312
2019-07-29,103.50321960449219
2019-07-30,104.4360122680664
2019-07-31,103.7486572265625
2019-08-01,104.45564270019531
2019-08-02,103.16932678222656
2019-08-05,100.43962097167969
2019-08-06,101.8633804321289
2019-08-07,102.1383285522461
2019-08-08,103.96467590332031
2019-08-09,103.57192993164062
2019-08-12,102.27581024169922
2019-08-13,103.47371673583984
2019-08-14,101.16624450683594
2019-08-15,100.82257080078125
2019-08-16,103.07117462158203
2019-08-19,104.2396240234375
2019-08-20,103.17915344238281
2019-08-21,104.12178039550781
2019-08-22,103.18899536132812
2019-08-23,100.55746459960938
2019-08-26,101.29389953613281
2019-08-27,100.37088775634766
2019-08-28,101.0189437866211
2019-08-29,101.74555969238281
2019-08-30,101.06803131103516
2019-09-03,99.32026672363281
2019-09-04,99.37916564941406
2019-09-05,100.5378189086914
2019-09-06,100.39051818847656
2019-09-09,99.98793029785156
2019-09-10,101.11714935302734
2019-09-11,102.86495208740234
2019-09-12,102.2659912109375
2019-09-13,102.31507873535156
2019-09-16,103.23807525634766
2019-09-17,103.28717041015625
2019-09-18,102.55073547363281
2019-09-19,102.7372817993164
2019-09-20,103.64067077636719
2019-09-23,102.7372817993164
2019-09-24,100.63556671142578
2019-09-25,100.35061645507812
2019-09-26,98.33634948730469
2019-09-27,97.56991577148438
2019-09-30,97.76646423339844
2019-10-01,96.29257202148438
2019-10-02,95.54580688476562
2019-10-03,97.06880950927734
2019-10-04,97.79594421386719
2019-10-07,97.6780014038086
2019-10-08,95.90937805175781
2019-10-09,96.04690551757812
2019-10-10,97.27516174316406
2019-10-11,98.4935531616211
2019-10-14,98.8669204711914
2019-10-15,100.67488861083984
2019-10-16,100.5667724609375
2019-10-17,101.23493194580078
2019-10-18,100.48818969726562
2019-10-21,101.77534484863281
2019-10-22,103.46539306640625
2019-10-23,103.79946899414062
2019-10-24,103.89774322509766
2019-10-25,103.75031280517578
2019-10-28,105.13577270507812
2019-10-29,105.58775329589844
2019-10-30,105.71548461914062
2019-10-31,105.4698486328125
2019-11-01,107.9361343383789
2019-11-04,107.59220886230469
2019-11-05,107.61185455322266
2019-11-06,106.42295837402344
2019-11-07,106.46224212646484
2019-11-08,108.43722534179688
2019-11-11,108.1228256225586
2019-11-12,108.4568862915039
2019-11-13,108.65341186523438
2019-11-14,107.9361343383789
2019-11-15,109.557373046875
2019-11-18,109.30188751220703
2019-11-19,111.47339630126953
2019-11-20,111.9745101928711
2019-11-21,112.3085708618164
2019-11-22,113.39923858642578
2019-11-25,116.18975830078125
2019-11-26,116.4157485961914
2019-11-27,117.3099136352539
2019-11-29,117.56536102294922
2019-12-02,116.38627624511719
2019-12-03,117.07408142089844
2019-12-04,118.30229187011719
2019-12-05,116.78914642333984
2019-12-06,117.93875122070312
2019-12-09,117.32955932617188
2019-12-10,118.00753784179688
2019-12-11,117.39833068847656
2019-12-12,118.19422149658203
2019-12-13,118.52828216552734
2019-12-16,119.5487060546875
2019-12-17,118.939208984375
2019-12-18,118.5165023803711
2019-12-19,119.09651184082031
2019-12-20,119.98124694824219
2019-12-23,120.83649444580078
2019-12-24,121.40666198730469
2019-12-26,120.50225830078125
2019-12-27,119.49956512451172
2019-12-30,118.20419311523438
2019-12-31,118.5287857055664
2020-01-02,117.9189453125
2020-01-03,116.41412353515625
2020-01-06,117.1616439819336
2020-01-07,117.19112396240234
2020-01-08,118.24353790283203
2020-01-09,119.05006408691406
2020-01-10,118.46976470947266
2020-01-13,117.20098114013672
2020-01-14,119.11892700195312
2020-01-15,119.72872161865234
2020-01-16,120.33853149414062
2020-01-17,119.8860855102539
2020-01-21,118.73534393310547
2020-01-22,118.4795913696289
2020-01-23,117.53536987304688
2020-01-24,114.95846557617188
2020-01-27,114.18143463134766
2020-01-28,115.39122772216797
2020-01-29,115.31253814697266
2020-01-30,113.64048767089844
2020-01-31,111.93891906738281
2020-02-03,113.91590118408203
2020-02-04,116.60100555419922
2020-02-05,119.56151580810547
2020-02-06,120.45657348632812
2020-02-07,119.5320053100586
2020-02-10,120.7122802734375
2020-02-11,120.65327453613281
2020-02-12,120.9188003540039
2020-02-13,119.94508361816406
2020-02-14,120.45657348632812
2020-02-18,120.50574493408203
2020-02-19,121.44995880126953
2020-02-20,121.28275299072266
2020-02-21,121.05651092529297
2020-02-24,117.86978149414062
2020-02-25,114.87976837158203
2020-02-26,116.41412353515625
2020-02-27,111.56517028808594
2020-02-28,112.00780487060547
2020-03-02,117.4566879272461
2020-03-03,114.31914520263672
2020-03-04,119.67955780029297
2020-03-05,117.5943832397461
2020-03-06,116.08955383300781
2020-03-09,108.19158172607422
2020-03-10,110.46359252929688
2020-03-11,105.21137237548828
2020-03-12,95.89708709716797
2020-03-13,101.97547149658203
2020-03-16,92.83821105957031
2020-03-17,99.63459777832031
2020-03-18,96.71343231201172
2020-03-19,99.3985366821289
2020-03-20,96.42819213867188
2020-03-23,95.89708709716797
2020-03-24,100.93289184570312
2020-03-25,100.37688446044922
2020-03-26,105.0906753540039
2020-03-27,103.04376220703125
2020-03-30,107.10804748535156
2020-03-31,106.02552795410156
2020-04-01,102.13841247558594
2020-04-02,105.9861831665039
2020-04-03,104.55924987792969
2020-04-06,109.93238067626953
2020-04-07,107.79691314697266
2020-04-08,111.14280700683594
2020-04-09,112.15641021728516
2020-04-13,112.66812896728516
2020-04-14,116.7619400024414
2020-04-15,113.84905242919922
2020-04-16,117.18511962890625
2020-04-17,122.65662384033203
2020-04-20,124.2409896850586
2020-04-21,120.47196197509766
2020-04-22,121.61348724365234
2020-04-23,121.23954010009766
2020-04-24,124.17212677001953
2020-04-27,125.5006332397461
2020-04-28,122.82390594482422
2020-04-29,123.79816436767578
2020-04-30,122.02682495117188
2020-05-01,118.97612762451172
2020-05-04,122.56804656982422
2020-05-05,124.95939636230469
2020-05-06,124.97907257080078
2020-05-07,125.14634704589844
2020-05-08,126.36662292480469
2020-05-11,131.76927185058594
2020-05-12,128.96461486816406
2020-05-13,127.53772735595703
2020-05-14,126.96693420410156
2020-05-15,130.14552307128906
2020-05-18,131.65118408203125
2020-05-19,129.12210083007812
2020-05-20,131.779052734375
2020-05-21,130.3620147705078
2020-05-22,131.21817016601562
2020-05-26,128.72842407226562
2020-05-27,129.89952087402344
2020-05-28,130.22427368164062
2020-05-29,132.59588623046875
2020-06-01,131.9759063720703
2020-06-02,132.2908172607422
2020-06-03,130.53915405273438
2020-06-04,129.34840393066406
2020-06-05,129.25985717773438
2020-06-08,130.9820098876953
2020-06-09,130.79502868652344
2020-06-10,131.21817016601562
2020-06-11,125.38256072998047
2020-06-12,126.04188537597656
2020-06-15,128.55084228515625
2020-06-16,130.35353088378906
2020-06-17,130.83621215820312
2020-06-18,131.49618530273438
2020-06-19,135.79107666015625
2020-06-22,136.06689453125
2020-06-23,136.57913208007812
2020-06-24,134.36270141601562
2020-06-25,135.8600311279297
2020-06-26,133.1412353515625
2020-06-29,132.6683807373047
2020-06-30,134.64840698242188
2020-07-01,135.31820678710938
2020-07-02,136.47076416015625
2020-07-06,137.35736083984375
2020-07-07,137.9680633544922
2020-07-08,138.7068328857422
2020-07-09,138.47042846679688
2020-07-10,137.13076782226562
2020-07-13,135.29852294921875
2020-07-14,138.16506958007812
2020-07-15,140.4898223876953
